lam,Sum,NeI,NeII
658.9,6.681e+2,6.681e+2,
659,1.033e+3,1.033e+3,
659.1,1.527e+3,1.527e+3,
659.3,2.905e+3,2.905e+3,
659.4,3.739e+3,3.739e+3,
659.5,4.598e+3,4.598e+3,
659.6,5.400e+3,5.400e+3,
659.8,6.489e+3,6.489e+3,
659.9,6.639e+3,6.639e+3,
660,6.489e+3,6.489e+3,
660.2,5.400e+3,5.400e+3,
660.3,4.598e+3,4.598e+3,
660.4,3.739e+3,3.739e+3,
660.5,2.905e+3,2.905e+3,
660.7,1.527e+3,1.527e+3,
660.8,1.033e+3,1.033e+3,
660.9,6.681e+2,6.681e+2,
661.1,2.432e+2,2.432e+2,
661.2,1.370e+2,1.370e+2,
661.3,7.369e+1,7.369e+1,
661.4,3.786e+1,3.786e+1,
661.6,8.707e+0,8.707e+0,
661.7,3.898e+0,3.898e+0,
661.8,1.667e+0,1.667e+0,
662,2.654e-1,2.654e-1,
662.1,9.888e-2,9.888e-2,
662.2,3.518e-2,3.518e-2,
662.3,1.196e-2,1.196e-2,
662.5,1.203e-3,1.203e-3,
662.6,3.562e-4,3.562e-4,
662.7,1.007e-4,1.007e-4,
662.9,7.019e-6,7.019e-6,
663,1.729e-6,1.729e-6,
663.1,4.070e-7,4.070e-7,
663.2,9.148e-8,9.148e-8,
663.4,4.027e-9,4.027e-9,
663.5,7.886e-10,7.886e-10,
663.6,1.475e-10,1.475e-10,
663.8,7.413e-12,7.413e-12,
663.9,1.788e-11,1.788e-11,
664,9.637e-11,9.637e-11,
664.1,5.179e-10,5.179e-10,
664.3,1.308e-8,1.308e-8,
664.4,6.143e-8,6.143e-8,
664.5,2.759e-7,2.759e-7,
664.7,4.867e-6,4.867e-6,
664.8,1.911e-5,1.911e-5,
664.9,7.174e-5,7.174e-5,
665.1,8.839e-4,8.839e-4,
665.2,2.901e-3,2.901e-3,
665.3,9.101e-3,9.101e-3,
665.4,2.731e-2,2.731e-2,
665.6,2.148e-1,2.148e-1,
665.7,5.634e-1,5.634e-1,
665.8,1.413e+0,1.413e+0,
666,7.765e+0,7.765e+0,
666.1,1.702e+1,1.702e+1,
666.2,3.567e+1,3.567e+1,
666.3,7.148e+1,7.148e+1,
666.5,2.509e+2,2.509e+2,
666.6,4.395e+2,4.395e+2,
666.7,7.360e+2,7.360e+2,
666.9,1.805e+3,1.805e+3,
667,2.642e+3,2.642e+3,
667.1,3.698e+3,3.698e+3,
667.2,4.950e+3,4.950e+3,
667.4,7.751e+3,7.751e+3,
667.5,9.068e+3,9.068e+3,
667.6,1.014e+4,1.014e+4,
667.8,1.110e+4,1.110e+4,
667.9,1.085e+4,1.085e+4,
668,1.014e+4,1.014e+4,
668.1,9.068e+3,9.068e+3,
668.3,6.335e+3,6.335e+3,
668.4,4.950e+3,4.950e+3,
668.5,3.698e+3,3.698e+3,
668.7,1.805e+3,1.805e+3,
668.8,1.179e+3,1.179e+3,
668.9,7.360e+2,7.360e+2,
669,4.395e+2,4.395e+2,
669.2,1.370e+2,1.370e+2,
669.3,7.150e+1,7.150e+1,
669.4,3.572e+1,3.572e+1,
669.6,8.118e+0,8.118e+0,
669.7,4.262e+0,4.262e+0,
669.8,3.489e+0,3.489e+0,
669.9,5.277e+0,5.277e+0,
670.1,2.135e+1,2.135e+1,
670.2,4.232e+1,4.232e+1,
670.3,8.044e+1,8.044e+1,
670.5,2.547e+2,2.547e+2,
670.6,4.240e+2,4.240e+2,
670.7,6.753e+2,6.753e+2,
670.8,1.029e+3,1.029e+3,
671,2.091e+3,2.091e+3,
671.1,2.789e+3,2.789e+3,
671.2,3.560e+3,3.560e+3,
671.4,5.075e+3,5.075e+3,
671.5,5.669e+3,5.669e+3,
671.6,6.059e+3,6.059e+3,
671.7,6.195e+3,6.195e+3,
671.9,5.669e+3,5.669e+3,
672,5.075e+3,5.075e+3,
672.1,4.345e+3,4.345e+3,
672.3,2.789e+3,2.789e+3,
672.4,2.091e+3,2.091e+3,
672.5,1.500e+3,1.500e+3,
672.6,1.029e+3,1.029e+3,
672.8,4.240e+2,4.240e+2,
672.9,2.547e+2,2.547e+2,
673,1.463e+2,1.463e+2,
673.2,4.229e+1,4.229e+1,
673.3,2.128e+1,2.128e+1,
673.4,1.024e+1,1.024e+1,
673.6,2.076e+0,2.076e+0,
673.7,8.746e-1,8.746e-1,
673.8,3.525e-1,3.525e-1,
673.9,1.359e-1,1.359e-1,
674.1,1.769e-2,1.769e-2,
674.2,5.971e-3,5.971e-3,
674.3,1.928e-3,1.928e-3,
674.5,1.760e-4,1.760e-4,
674.6,4.976e-5,4.976e-5,
674.7,1.346e-5,1.346e-5,
674.8,3.482e-6,3.482e-6,
675,2.041e-7,2.041e-7,
675.1,4.622e-8,4.622e-8,
675.2,1.002e-8,1.002e-8,
675.4,4.117e-10,4.117e-10,
675.5,7.810e-11,7.810e-11,
675.6,1.417e-11,1.417e-11,
675.7,2.461e-12,2.461e-12,
684.5,1.578e-45,,1.578e-45
684.6,9.078e-45,,9.078e-45
684.8,2.649e-43,,2.649e-43
684.9,1.343e-42,,1.343e-42
685,6.529e-42,,6.529e-42
685.1,3.043e-41,,3.043e-41
685.3,5.823e-40,,5.823e-40
685.4,2.391e-39,,2.391e-39
685.5,9.415e-39,,9.415e-39
685.7,1.286e-37,,1.286e-37
685.8,4.461e-37,,4.461e-37
685.9,1.484e-36,,1.484e-36
686,4.732e-36,,4.732e-36
686.2,4.240e-35,,4.240e-35
686.3,1.191e-34,,1.191e-34
686.4,3.209e-34,,3.209e-34
686.6,2.052e-33,,2.052e-33
686.7,4.872e-33,,4.872e-33
686.8,1.109e-32,,1.109e-32
686.9,2.420e-32,,2.420e-32
687.1,1.016e-31,,1.016e-31
687.2,1.955e-31,,1.955e-31
687.3,3.607e-31,,3.607e-31
687.5,1.084e-30,,1.084e-30
687.6,1.765e-30,,1.765e-30
687.7,2.760e-30,,2.760e-30
687.8,4.145e-30,,4.145e-30
688,8.298e-30,,8.298e-30
688.1,1.109e-29,,1.109e-29
688.2,1.429e-29,,1.429e-29
688.4,2.145e-29,,2.145e-29
688.5,2.514e-29,,2.514e-29
688.6,2.872e-29,,2.872e-29
688.7,9.141e-13,9.141e-13,3.210e-29
688.9,2.782e-11,2.782e-11,3.808e-29
689,1.442e-10,1.442e-10,4.058e-29
689.1,7.165e-10,7.165e-10,4.263e-29
689.3,1.563e-8,1.563e-8,4.478e-29
689.4,6.855e-8,6.855e-8,4.450e-29
689.5,2.884e-7,2.884e-7,4.312e-29
689.6,1.164e-6,1.164e-6,4.059e-29
689.8,1.674e-5,1.674e-5,3.262e-29
689.9,5.963e-5,5.963e-5,2.773e-29
690,2.037e-4,2.037e-4,2.269e-29
690.2,2.099e-3,2.099e-3,1.351e-29
690.3,6.330e-3,6.330e-3,9.812e-30
690.4,1.831e-2,1.831e-2,6.842e-30
690.5,5.080e-2,5.080e-2,4.579e-30
690.7,3.451e-1,3.451e-1,1.810e-30
690.8,8.450e-1,8.450e-1,1.069e-30
690.9,1.985e+0,1.985e+0,6.056e-31
691.1,9.662e+0,9.662e+0,1.713e-31
691.2,2.003e+1,2.003e+1,8.557e-32
691.3,3.982e+1,3.982e+1,4.098e-32
691.5,1.389e+2,1.389e+2,8.285e-33
691.6,2.438e+2,2.438e+2,3.498e-33
691.7,4.103e+2,4.103e+2,1.416e-33
691.8,6.624e+2,6.624e+2,5.495e-34
692,1.524e+3,1.524e+3,7.296e-35
692.1,2.171e+3,2.171e+3,2.496e-35
692.2,2.967e+3,2.967e+3,8.187e-36
692.4,4.891e+3,4.891e+3,7.764e-37
692.5,5.899e+3,5.899e+3,2.245e-37
692.6,6.825e+3,6.825e+3,6.223e-38
692.7,7.574e+3,7.574e+3,1.654e-38
692.9,8.232e+3,8.232e+3,1.030e-39
693,8.062e+3,8.062e+3,2.413e-40
693.1,7.574e+3,7.574e+3,5.421e-41
693.3,5.899e+3,5.899e+3,2.411e-42
693.4,4.891e+3,4.891e+3,4.774e-43
693.5,3.890e+3,3.890e+3,9.064e-44
693.6,2.967e+3,2.967e+3,1.650e-44
693.8,1.524e+3,1.524e+3,
693.9,1.026e+3,1.026e+3,
694,6.624e+2,6.624e+2,
694.2,2.438e+2,2.438e+2,
694.3,1.389e+2,1.389e+2,
694.4,7.594e+1,7.594e+1,
694.5,3.982e+1,3.982e+1,
694.7,9.662e+0,9.662e+0,
694.8,4.471e+0,4.471e+0,
694.9,1.985e+0,1.985e+0,
695.1,3.451e-1,3.451e-1,
695.2,1.352e-1,1.352e-1,
695.3,5.080e-2,5.080e-2,
695.4,1.831e-2,1.831e-2,
695.6,2.099e-3,2.099e-3,
695.7,6.677e-4,6.677e-4,
695.8,2.037e-4,2.037e-4,
696,1.674e-5,1.674e-5,
696.1,4.507e-6,4.507e-6,
696.2,1.164e-6,1.164e-6,
696.3,2.884e-7,2.884e-7,
696.5,1.563e-8,1.563e-8,
696.6,3.416e-9,3.416e-9,
696.7,7.165e-10,7.165e-10,
696.9,2.782e-11,2.782e-11,
697,5.149e-12,5.149e-12,
697.1,9.141e-13,9.141e-13,
697.2,1.557e-13,1.557e-13,
698.1,2.833e-14,2.833e-14,
698.3,8.534e-13,8.534e-13,
698.4,4.407e-12,4.407e-12,
698.5,2.186e-11,2.186e-11,
698.7,4.759e-10,4.759e-10,
698.8,2.090e-9,2.090e-9,
698.9,8.813e-9,8.813e-9,
699,3.569e-8,3.569e-8,
699.2,5.182e-7,5.182e-7,
699.3,1.858e-6,1.858e-6,
699.4,6.399e-6,6.399e-6,
699.6,6.719e-5,6.719e-5,
699.7,2.049e-4,2.049e-4,
699.8,6.001e-4,6.001e-4,
700,4.559e-3,4.559e-3,
700.1,1.183e-2,1.183e-2,
700.2,2.948e-2,2.948e-2,
700.3,7.059e-2,7.059e-2,
700.5,3.590e-1,3.590e-1,
700.6,7.630e-1,7.630e-1,
700.7,1.559e+0,1.559e+0,
700.9,5.807e+0,5.807e+0,
701,1.060e+1,1.060e+1,
701.1,1.867e+1,1.867e+1,
701.2,3.179e+1,3.179e+1,
701.4,8.398e+1,8.398e+1,
701.5,1.310e+2,1.310e+2,
701.6,1.996e+2,1.996e+2,
701.8,4.376e+2,4.376e+2,
701.9,6.326e+2,6.326e+2,
702,9.013e+2,9.013e+2,
702.1,1.265e+3,1.265e+3,
702.3,2.364e+3,2.364e+3,
702.4,3.129e+3,3.129e+3,
702.5,4.037e+3,4.037e+3,
702.7,6.153e+3,6.153e+3,
702.8,7.234e+3,7.234e+3,
702.9,8.210e+3,8.210e+3,
703,8.985e+3,8.985e+3,
703.2,9.609e+3,9.609e+3,
703.3,9.377e+3,9.377e+3,
703.4,8.798e+3,8.798e+3,
703.6,6.877e+3,6.877e+3,
703.7,5.728e+3,5.728e+3,
703.8,4.584e+3,4.584e+3,
703.9,3.527e+3,3.527e+3,
704.1,1.862e+3,1.862e+3,
704.2,1.284e+3,1.284e+3,
704.3,8.641e+2,8.641e+2,
704.5,3.957e+2,3.957e+2,
704.6,2.932e+2,2.932e+2,
704.7,2.474e+2,2.474e+2,
704.8,2.415e+2,2.415e+2,
705,3.051e+2,3.051e+2,
705.1,3.615e+2,3.615e+2,
705.2,4.289e+2,4.289e+2,
705.4,5.808e+2,5.808e+2,
705.5,6.555e+2,6.555e+2,
705.6,7.209e+2,7.209e+2,
705.7,7.702e+2,7.702e+2,
705.9,7.984e+2,7.984e+2,
706,7.717e+2,7.717e+2,
706.1,7.192e+2,7.192e+2,
706.3,5.581e+2,5.581e+2,
706.4,4.640e+2,4.640e+2,
706.5,3.710e+2,3.710e+2,
706.6,2.852e+2,2.852e+2,
706.8,1.497e+2,1.497e+2,
706.9,1.021e+2,1.021e+2,
707,6.698e+1,6.698e+1,
707.2,2.554e+1,2.554e+1,
707.3,1.486e+1,1.486e+1,
707.4,8.300e+0,8.300e+0,
707.5,4.455e+0,4.455e+0,
707.7,1.138e+0,1.138e+0,
707.8,5.416e-1,5.416e-1,
707.9,2.476e-1,2.476e-1,
708.1,4.588e-2,4.588e-2,
708.2,1.860e-2,1.860e-2,
708.3,7.241e-3,7.241e-3,
708.5,9.733e-4,9.733e-4,
708.6,3.360e-4,3.360e-4,
708.7,1.114e-4,1.114e-4,
708.8,3.550e-5,3.550e-5,
709,3.194e-6,3.194e-6,
709.1,9.022e-7,9.022e-7,
709.2,2.448e-7,2.448e-7,
709.4,1.598e-8,1.598e-8,
709.5,3.844e-9,3.844e-9,
709.6,8.882e-10,8.882e-10,
709.7,1.972e-10,1.972e-10,
709.9,8.616e-12,8.616e-12,
710,1.696e-12,1.696e-12,
710.1,3.206e-13,3.206e-13,
713,6.196e-14,6.196e-14,
713.1,3.359e-13,3.359e-13,
713.2,1.752e-12,1.752e-12,
713.3,8.789e-12,8.789e-12,
713.5,1.968e-10,1.968e-10,
713.6,8.788e-10,8.788e-10,
713.7,3.774e-9,3.774e-9,
713.9,6.194e-8,6.194e-8,
714,2.367e-7,2.367e-7,
714.1,8.701e-7,8.701e-7,
714.2,3.077e-6,3.077e-6,
714.4,3.424e-5,3.424e-5,
714.5,1.077e-4,1.077e-4,
714.6,3.261e-4,3.261e-4,
714.8,2.659e-3,2.659e-3,
714.9,7.163e-3,7.163e-3,
715,1.856e-2,1.856e-2,
715.1,4.626e-2,4.626e-2,
715.3,2.557e-1,2.557e-1,
715.4,5.672e-1,5.672e-1,
715.5,1.210e+0,1.210e+0,
715.7,4.903e+0,4.903e+0,
715.8,9.309e+0,9.309e+0,
715.9,1.700e+1,1.700e+1,
716,2.987e+1,2.987e+1,
716.2,8.204e+1,8.204e+1,
716.3,1.283e+2,1.283e+2,
716.4,1.929e+2,1.929e+2,
716.6,3.883e+2,3.883e+2,
716.7,5.196e+2,5.196e+2,
716.8,6.690e+2,6.690e+2,
717,9.867e+2,9.867e+2,
717.1,1.130e+3,1.130e+3,
717.2,1.246e+3,1.246e+3,
717.3,1.321e+3,1.321e+3,
717.5,1.321e+3,1.321e+3,
717.6,1.246e+3,1.246e+3,
717.7,1.130e+3,1.130e+3,
717.9,8.284e+2,8.284e+2,
718,6.690e+2,6.690e+2,
