lam,Sum,NeI,NeII
518.2,1.989e+0,1.989e+0,
518.4,8.764e+0,8.764e+0,
518.5,1.646e+1,1.646e+1,
518.6,2.871e+1,2.871e+1,
518.7,4.650e+1,4.650e+1,
518.9,9.766e+1,9.766e+1,
519,1.267e+2,1.267e+2,
519.1,1.528e+2,1.528e+2,
519.3,1.795e+2,1.795e+2,
519.4,1.765e+2,1.765e+2,
519.5,1.650e+2,1.650e+2,
519.7,1.392e+2,1.392e+2,
519.8,1.375e+2,1.375e+2,
519.9,1.488e+2,1.488e+2,
520,1.731e+2,1.731e+2,
520.2,2.432e+2,2.432e+2,
520.3,2.753e+2,2.753e+2,
520.4,2.967e+2,2.967e+2,
520.6,2.961e+2,2.961e+2,
520.7,2.755e+2,2.755e+2,
520.8,2.457e+2,2.457e+2,
520.9,2.104e+2,2.104e+2,
521.1,1.367e+2,1.367e+2,
521.2,1.031e+2,1.031e+2,
521.3,7.406e+1,7.406e+1,
521.5,3.229e+1,3.229e+1,
521.6,1.944e+1,1.944e+1,
521.7,1.097e+1,1.097e+1,
521.8,5.781e+0,5.781e+0,
522,1.302e+0,1.302e+0,
522.1,5.551e-1,5.551e-1,
522.2,2.202e-1,2.202e-1,
522.4,2.785e-2,2.785e-2,
522.5,8.874e-3,8.874e-3,
522.6,2.628e-3,2.628e-3,
522.7,7.230e-4,7.230e-4,
522.9,4.389e-5,4.389e-5,
523,9.683e-6,9.683e-6,
523.1,1.985e-6,1.985e-6,
523.3,6.684e-8,6.684e-8,
523.4,1.098e-8,1.098e-8,
523.5,1.676e-9,1.676e-9,
523.6,2.377e-10,2.377e-10,
523.8,3.830e-12,3.830e-12,
523.9,4.354e-13,4.354e-13,
524,4.597e-14,4.597e-14,
529.8,1.216e-14,1.216e-14,
530,1.100e-12,1.100e-12,
530.1,9.409e-12,9.409e-12,
530.2,7.503e-11,7.503e-11,
530.3,5.576e-10,5.576e-10,
530.5,2.494e-8,2.494e-8,
530.6,1.501e-7,1.501e-7,
530.7,8.417e-7,8.417e-7,
530.9,2.144e-5,2.144e-5,
531,9.735e-5,9.735e-5,
531.1,4.120e-4,4.120e-4,
531.2,1.625e-3,1.625e-3,
531.4,2.048e-2,2.048e-2,
531.5,6.541e-2,6.541e-2,
531.6,1.947e-1,1.947e-1,
531.8,1.397e+0,1.397e+0,
531.9,3.368e+0,3.368e+0,
532,7.566e+0,7.566e+0,
532.1,1.584e+1,1.584e+1,
532.3,5.623e+1,5.623e+1,
532.4,9.534e+1,9.534e+1,
532.5,1.507e+2,1.507e+2,
532.7,3.050e+2,3.050e+2,
532.8,3.908e+2,3.908e+2,
532.9,4.677e+2,4.677e+2,
533,5.234e+2,5.234e+2,
533.2,5.464e+2,5.464e+2,
533.3,5.201e+2,5.201e+2,
533.4,4.852e+2,4.852e+2,
533.6,4.524e+2,4.524e+2,
533.7,4.740e+2,4.740e+2,
533.8,5.193e+2,5.193e+2,
533.9,5.762e+2,5.762e+2,
534.1,6.559e+2,6.559e+2,
534.2,6.504e+2,6.504e+2,
534.3,6.078e+2,6.078e+2,
534.5,4.394e+2,4.394e+2,
534.6,3.391e+2,3.391e+2,
534.7,2.453e+2,2.453e+2,
534.8,1.662e+2,1.662e+2,
535,6.282e+1,6.282e+1,
535.1,3.502e+1,3.502e+1,
535.2,1.829e+1,1.829e+1,
535.4,4.098e+0,4.098e+0,
535.5,1.758e+0,1.758e+0,
535.6,7.055e-1,7.055e-1,
535.7,2.650e-1,2.650e-1,
535.9,3.062e-2,3.062e-2,
536,9.413e-3,9.413e-3,
536.1,2.705e-3,2.705e-3,
536.3,1.823e-4,1.823e-4,
536.4,4.273e-5,4.273e-5,
536.5,9.354e-6,9.354e-6,
536.7,3.650e-7,3.650e-7,
536.8,6.504e-8,6.504e-8,
536.9,1.082e-8,1.082e-8,
537,1.679e-9,1.679e-9,
537.2,3.286e-11,3.286e-11,
537.3,4.142e-12,4.142e-12,
537.4,4.871e-13,4.871e-13,
537.6,5.363e-15,5.363e-15,
552.9,6.940e-15,6.940e-15,
553,6.049e-14,6.049e-14,
553.1,4.942e-13,4.942e-13,
553.3,2.718e-11,2.718e-11,
553.4,1.829e-10,1.829e-10,
553.5,1.154e-9,1.154e-9,
553.7,3.784e-8,3.784e-8,
553.8,1.967e-7,1.967e-7,
553.9,9.582e-7,9.582e-7,
554,4.376e-6,4.376e-6,
554.2,7.519e-5,7.519e-5,
554.3,2.829e-4,2.829e-4,
554.4,9.975e-4,9.975e-4,
554.6,1.022e-2,1.022e-2,
554.7,2.969e-2,2.969e-2,
554.8,8.084e-2,8.084e-2,
554.9,2.064e-1,2.064e-1,
555.1,1.108e+0,1.108e+0,
555.2,2.329e+0,2.329e+0,
555.3,4.592e+0,4.592e+0,
555.5,1.470e+1,1.470e+1,
555.6,2.386e+1,2.386e+1,
555.7,3.632e+1,3.632e+1,
555.8,5.183e+1,5.183e+1,
556,8.692e+1,8.692e+1,
556.1,1.022e+2,1.022e+2,
556.2,1.126e+2,1.126e+2,
556.4,1.126e+2,1.126e+2,
556.5,1.022e+2,1.022e+2,
556.6,8.692e+1,8.692e+1,
556.7,6.932e+1,6.932e+1,
556.9,3.632e+1,3.632e+1,
557,2.386e+1,2.386e+1,
557.1,1.470e+1,1.470e+1,
557.3,4.592e+0,4.592e+0,
557.4,2.329e+0,2.329e+0,
557.5,1.108e+0,1.108e+0,
557.6,4.938e-1,4.938e-1,
557.8,8.084e-2,8.084e-2,
557.9,2.969e-2,2.969e-2,
558,1.022e-2,1.022e-2,
558.2,9.975e-4,9.975e-4,
558.3,2.829e-4,2.829e-4,
558.4,7.519e-5,7.519e-5,
558.5,1.873e-5,1.873e-5,
558.7,9.582e-7,9.582e-7,
558.8,1.967e-7,1.967e-7,
558.9,3.784e-8,3.784e-8,
559.1,1.154e-9,1.154e-9,
559.2,1.829e-10,1.829e-10,
559.3,2.718e-11,2.718e-11,
559.4,3.785e-12,3.785e-12,
559.6,6.049e-14,6.049e-14,
559.7,6.940e-15,6.940e-15,
562.2,5.667e-15,5.667e-15,
562.3,4.897e-14,4.897e-14,
562.4,3.974e-13,3.974e-13,
562.5,3.030e-12,3.030e-12,
562.7,1.460e-10,1.460e-10,
562.8,9.232e-10,9.232e-10,
562.9,5.482e-9,5.482e-9,
563.1,1.602e-7,1.602e-7,
563.2,7.888e-7,7.888e-7,
563.3,3.648e-6,3.648e-6,
563.4,1.585e-5,1.585e-5,
563.6,2.479e-4,2.479e-4,
563.7,8.929e-4,8.929e-4,
563.8,3.021e-3,3.021e-3,
564,2.867e-2,2.867e-2,
564.1,8.040e-2,8.040e-2,
564.2,2.119e-1,2.119e-1,
564.3,5.244e-1,5.244e-1,
564.5,2.663e+0,2.663e+0,
564.6,5.465e+0,5.465e+0,
564.7,1.053e+1,1.053e+1,
564.9,3.245e+1,3.245e+1,
565,5.186e+1,5.186e+1,
565.1,7.785e+1,7.785e+1,
565.2,1.098e+2,1.098e+2,
565.4,1.810e+2,1.810e+2,
565.5,2.116e+2,2.116e+2,
565.6,2.324e+2,2.324e+2,
565.8,2.324e+2,2.324e+2,
565.9,2.116e+2,2.116e+2,
566,1.810e+2,1.810e+2,
566.1,1.455e+2,1.455e+2,
566.3,7.785e+1,7.785e+1,
566.4,5.186e+1,5.186e+1,
566.5,3.245e+1,3.245e+1,
566.7,1.053e+1,1.053e+1,
566.8,5.465e+0,5.465e+0,
566.9,2.663e+0,2.663e+0,
567,1.220e+0,1.220e+0,
567.2,2.184e-1,2.184e-1,
567.3,9.960e-2,9.960e-2,
567.4,8.186e-2,8.186e-2,
567.6,3.425e-1,3.425e-1,
567.7,7.825e-1,7.825e-1,
567.8,1.692e+0,1.692e+0,
567.9,3.443e+0,3.443e+0,
568.1,1.184e+1,1.184e+1,
568.2,2.002e+1,2.002e+1,
568.3,3.183e+1,3.183e+1,
568.5,6.679e+1,6.679e+1,
568.6,8.820e+1,8.820e+1,
568.7,1.095e+2,1.095e+2,
568.8,1.278e+2,1.278e+2,
569,1.446e+2,1.446e+2,
569.1,1.402e+2,1.402e+2,
569.2,1.278e+2,1.278e+2,
569.4,8.820e+1,8.820e+1,
569.5,6.679e+1,6.679e+1,
569.6,4.755e+1,4.755e+1,
569.7,3.183e+1,3.183e+1,
569.9,1.184e+1,1.184e+1,
570,6.588e+0,6.588e+0,
570.1,3.448e+0,3.448e+0,
570.3,8.253e-1,8.253e-1,
570.4,4.522e-1,4.522e-1,
570.5,4.123e-1,4.123e-1,
570.7,1.361e+0,1.361e+0,
570.8,2.717e+0,2.717e+0,
570.9,5.153e+0,5.153e+0,
571,9.208e+0,9.208e+0,
571.2,2.449e+1,2.449e+1,
571.3,3.644e+1,3.644e+1,
571.4,5.101e+1,5.101e+1,
571.6,8.319e+1,8.319e+1,
571.7,9.693e+1,9.693e+1,
571.8,1.062e+2,1.062e+2,
571.9,1.095e+2,1.095e+2,
572.1,9.693e+1,9.693e+1,
572.2,8.319e+1,8.319e+1,
572.3,6.716e+1,6.716e+1,
572.5,3.644e+1,3.644e+1,
572.6,2.449e+1,2.449e+1,
572.7,1.548e+1,1.548e+1,
572.8,9.209e+0,9.209e+0,
573,2.733e+0,2.733e+0,
573.1,1.406e+0,1.406e+0,
573.2,7.991e-1,7.991e-1,
573.4,1.184e+0,1.184e+0,
573.5,2.470e+0,2.470e+0,
573.6,5.186e+0,5.186e+0,
573.7,1.038e+1,1.038e+1,
573.9,3.480e+1,3.480e+1,
574,5.821e+1,5.821e+1,
574.1,9.165e+1,9.165e+1,
574.3,1.895e+2,1.895e+2,
574.4,2.488e+2,2.488e+2,
574.5,3.076e+2,3.076e+2,
574.6,3.579e+2,3.579e+2,
574.8,4.046e+2,4.046e+2,
574.9,3.938e+2,3.938e+2,
575,3.627e+2,3.627e+2,
575.2,2.725e+2,2.725e+2,
575.3,2.369e+2,2.369e+2,
575.4,2.250e+2,2.250e+2,
575.5,2.496e+2,2.496e+2,
575.7,4.486e+2,4.486e+2,
575.8,6.315e+2,6.315e+2,
575.9,8.625e+2,8.625e+2,
576.1,1.382e+3,1.382e+3,
576.2,1.604e+3,1.604e+3,
576.3,1.755e+3,1.755e+3,
576.4,1.808e+3,1.808e+3,
576.6,1.603e+3,1.603e+3,
576.7,1.379e+3,1.379e+3,
576.8,1.117e+3,1.117e+3,
577,6.120e+2,6.120e+2,
577.1,4.138e+2,4.138e+2,
577.2,2.635e+2,2.635e+2,
577.3,1.580e+2,1.580e+2,
577.5,4.740e+1,4.740e+1,
577.6,2.372e+1,2.372e+1,
577.7,1.118e+1,1.118e+1,
577.9,2.072e+0,2.072e+0,
578,8.153e-1,8.153e-1,
578.1,3.021e-1,3.021e-1,
578.2,1.055e-1,1.055e-1,
578.4,1.283e-2,1.283e-2,
578.5,9.888e-3,9.888e-3,
578.6,2.117e-2,2.117e-2,
578.8,1.529e-1,1.529e-1,
578.9,3.836e-1,3.836e-1,
579,9.072e-1,9.072e-1,
579.2,4.246e+0,4.246e+0,
579.3,8.404e+0,8.404e+0,
579.4,1.567e+1,1.567e+1,
579.5,2.755e+1,2.755e+1,
579.7,7.122e+1,7.122e+1,
579.8,1.047e+2,1.047e+2,
579.9,1.452e+2,1.452e+2,
580.1,2.335e+2,2.335e+2,
580.2,2.709e+2,2.709e+2,
580.3,2.962e+2,2.962e+2,
580.4,3.055e+2,3.055e+2,
580.6,2.739e+2,2.739e+2,
580.7,2.404e+2,2.404e+2,
580.8,2.042e+2,2.042e+2,
581,1.580e+2,1.580e+2,
581.1,1.646e+2,1.646e+2,
581.2,1.999e+2,1.999e+2,
581.3,2.677e+2,2.677e+2,
581.5,4.961e+2,4.961e+2,
581.6,6.404e+2,6.404e+2,
581.7,7.842e+2,7.842e+2,
581.9,9.909e+2,9.909e+2,
582,1.020e+3,1.020e+3,
582.1,9.906e+2,9.906e+2,
582.2,9.066e+2,9.066e+2,
582.4,6.361e+2,6.361e+2,
582.5,4.877e+2,4.877e+2,
582.6,3.525e+2,3.525e+2,
582.8,1.542e+2,1.542e+2,
582.9,9.337e+1,9.337e+1,
583,5.329e+1,5.329e+1,
583.1,2.868e+1,2.868e+1,
583.3,7.105e+0,7.105e+0,
583.4,3.589e+0,3.589e+0,
583.5,2.602e+0,2.602e+0,
583.7,8.437e+0,8.437e+0,
583.8,1.928e+1,1.928e+1,
583.9,4.227e+1,4.227e+1,
584,8.766e+1,8.766e+1,
584.2,3.167e+2,3.167e+2,
584.3,5.515e+2,5.515e+2,
584.4,9.060e+2,9.060e+2,
584.6,2.052e+3,2.052e+3,
584.7,2.829e+3,2.829e+3,
584.8,3.679e+3,3.679e+3,
584.9,4.513e+3,4.513e+3,
585.1,5.701e+3,5.701e+3,
585.2,5.870e+3,5.870e+3,
585.3,5.701e+3,5.701e+3,
585.5,4.513e+3,4.513e+3,
585.6,3.679e+3,3.679e+3,
585.7,2.829e+3,2.829e+3,
585.8,2.053e+3,2.053e+3,
586,9.094e+2,9.094e+2,
586.1,5.586e+2,5.586e+2,
586.2,3.305e+2,3.305e+2,
586.4,1.317e+2,1.317e+2,
586.5,1.148e+2,1.148e+2,
586.6,1.323e+2,1.323e+2,
586.7,1.756e+2,1.756e+2,
586.9,3.205e+2,3.205e+2,
587,4.176e+2,4.176e+2,
587.1,5.332e+2,5.332e+2,
587.3,8.563e+2,8.563e+2,
587.4,1.096e+3,1.096e+3,
587.5,1.413e+3,1.413e+3,
587.6,1.816e+3,1.816e+3,
587.8,2.830e+3,2.830e+3,
587.9,3.355e+3,3.355e+3,
588,3.801e+3,3.801e+3,
588.2,4.186e+3,4.186e+3,
588.3,4.050e+3,4.050e+3,
588.4,3.704e+3,3.704e+3,
588.6,2.613e+3,2.613e+3,
588.7,2.014e+3,2.014e+3,
588.8,1.467e+3,1.467e+3,
588.9,1.013e+3,1.013e+3,
589.1,4.284e+2,4.284e+2,
589.2,2.851e+2,2.851e+2,
589.3,2.211e+2,2.211e+2,
589.5,2.769e+2,2.769e+2,
589.6,3.766e+2,3.766e+2,
589.7,5.122e+2,5.122e+2,
589.8,6.723e+2,6.723e+2,
590,1.002e+3,1.002e+3,
590.1,1.134e+3,1.134e+3,
590.2,1.221e+3,1.221e+3,
590.4,1.226e+3,1.226e+3,
590.5,1.149e+3,1.149e+3,
590.6,1.032e+3,1.032e+3,
590.7,8.947e+2,8.947e+2,
590.9,6.217e+2,6.217e+2,
591,5.108e+2,5.108e+2,
591.1,4.249e+2,4.249e+2,
591.3,3.231e+2,3.231e+2,
591.4,2.975e+2,2.975e+2,
591.5,2.805e+2,2.805e+2,
591.6,2.668e+2,2.668e+2,
591.8,2.342e+2,2.342e+2,
591.9,2.119e+2,2.119e+2,
592,1.858e+2,1.858e+2,
592.2,1.275e+2,1.275e+2,
592.3,9.922e+1,9.922e+1,
592.4,7.375e+1,7.375e+1,
592.5,5.229e+1,5.229e+1,
592.7,2.322e+1,2.322e+1,
592.8,1.557e+1,1.557e+1,
592.9,1.271e+1,1.271e+1,
593.1,2.871e+1,2.871e+1,
593.2,5.798e+1,5.798e+1,
593.3,1.159e+2,1.159e+2,
593.4,2.215e+2,2.215e+2,
593.6,6.864e+2,6.864e+2,
593.7,1.110e+3,1.110e+3,
593.8,1.697e+3,1.697e+3,
594,3.347e+3,3.347e+3,
594.1,4.318e+3,4.318e+3,
594.2,5.264e+3,5.264e+3,
594.3,6.064e+3,6.064e+3,
594.5,6.791e+3,6.791e+3,
594.6,6.602e+3,6.602e+3,
594.7,6.064e+3,6.064e+3,
594.9,4.320e+3,4.320e+3,
595,3.350e+3,3.350e+3,
595.1,2.457e+3,2.457e+3,
595.2,1.707e+3,1.707e+3,
595.4,7.185e+2,7.185e+2,
595.5,4.543e+2,4.543e+2,
595.6,3.058e+2,3.058e+2,
595.8,2.392e+2,2.392e+2,
595.9,2.754e+2,2.754e+2,
596,3.352e+2,3.352e+2,
596.1,4.060e+2,4.060e+2,
596.3,5.397e+2,5.397e+2,
596.4,5.903e+2,5.903e+2,
596.5,6.300e+2,6.300e+2,
596.7,7.120e+2,7.120e+2,
596.8,7.828e+2,7.828e+2,
596.9,8.924e+2,8.924e+2,
597.1,1.243e+3,1.243e+3,
597.2,1.460e+3,1.460e+3,
597.3,1.672e+3,1.672e+3,
597.4,1.843e+3,1.843e+3,
597.6,1.947e+3,1.947e+3,
597.7,1.856e+3,1.856e+3,
597.8,1.682e+3,1.682e+3,
598,1.197e+3,1.197e+3,
598.1,9.549e+2,9.549e+2,
598.2,7.485e+2,7.485e+2,
598.3,5.923e+2,5.923e+2,
598.5,4.317e+2,4.317e+2,
598.6,4.079e+2,4.079e+2,
598.7,4.028e+2,4.028e+2,
598.9,3.990e+2,3.990e+2,
599,3.842e+2,3.842e+2,
599.1,3.571e+2,3.571e+2,
599.2,3.190e+2,3.190e+2,
599.4,2.247e+2,2.247e+2,
599.5,1.768e+2,1.768e+2,
599.6,1.333e+2,1.333e+2,
599.8,6.630e+1,6.630e+1,
599.9,4.367e+1,4.367e+1,
600,2.744e+1,2.744e+1,
600.1,1.644e+1,1.644e+1,
600.3,5.086e+0,5.086e+0,
600.4,2.622e+0,2.622e+0,
600.5,1.284e+0,1.284e+0,
600.7,2.638e-1,2.638e-1,
600.8,1.130e-1,1.130e-1,
600.9,5.385e-2,5.385e-2,
601,4.838e-2,4.838e-2,
601.2,2.614e-1,2.614e-1,
601.3,6.800e-1,6.800e-1,
601.4,1.684e+0,1.684e+0,
601.6,8.768e+0,8.768e+0,
601.7,1.842e+1,1.842e+1,
601.8,3.664e+1,3.664e+1,
601.9,6.898e+1,6.898e+1,
602.1,2.072e+2,2.072e+2,
602.2,3.308e+2,3.308e+2,
602.3,4.997e+2,4.997e+2,
602.5,9.668e+2,9.668e+2,
602.6,1.238e+3,1.238e+3,
602.7,1.501e+3,1.501e+3,
602.8,1.722e+3,1.722e+3,
603,1.923e+3,1.923e+3,
603.1,1.871e+3,1.871e+3,
603.2,1.722e+3,1.722e+3,
603.4,1.238e+3,1.238e+3,
603.5,9.668e+2,9.668e+2,
603.6,7.144e+2,7.144e+2,
603.7,4.997e+2,4.997e+2,
603.9,2.072e+2,2.072e+2,
604,1.229e+2,1.229e+2,
604.1,6.898e+1,6.898e+1,
604.3,1.842e+1,1.842e+1,
604.4,8.768e+0,8.768e+0,
604.5,3.949e+0,3.949e+0,
604.6,1.684e+0,1.684e+0,
604.8,2.595e-1,2.595e-1,
604.9,9.409e-2,9.409e-2,
605,3.323e-2,3.323e-2,
605.2,1.704e-2,1.704e-2,
605.3,4.535e-2,4.535e-2,
605.4,1.352e-1,1.352e-1,
605.6,1.059e+0,1.059e+0,
605.7,2.733e+0,2.733e+0,
605.8,6.685e+0,6.685e+0,
605.9,1.549e+1,1.549e+1,
606.1,7.065e+1,7.065e+1,
606.2,1.391e+2,1.391e+2,
606.3,2.595e+2,2.595e+2,
606.5,7.672e+2,7.672e+2,
606.6,1.216e+3,1.216e+3,
606.7,1.826e+3,1.826e+3,
606.8,2.598e+3,2.598e+3,
607,4.467e+3,4.467e+3,
607.1,5.400e+3,5.400e+3,
607.2,6.183e+3,6.183e+3,
607.4,6.891e+3,6.891e+3,
607.5,6.707e+3,6.707e+3,
607.6,6.184e+3,6.184e+3,
607.7,5.400e+3,5.400e+3,
607.9,3.504e+3,3.504e+3,
608,2.608e+3,2.608e+3,
608.1,1.851e+3,1.851e+3,
608.3,8.768e+2,8.768e+2,
608.4,6.732e+2,6.732e+2,
608.5,6.582e+2,6.582e+2,
608.6,8.407e+2,8.407e+2,
608.8,1.882e+3,1.882e+3,
608.9,2.783e+3,2.783e+3,
609,3.933e+3,3.933e+3,
609.2,6.726e+3,6.726e+3,
609.3,8.120e+3,8.120e+3,
609.4,9.289e+3,9.289e+3,
609.5,1.007e+4,1.007e+4,
609.7,1.007e+4,1.007e+4,
609.8,9.289e+3,9.289e+3,
609.9,8.119e+3,8.119e+3,
610.1,5.279e+3,5.279e+3,
610.2,3.926e+3,3.926e+3,
610.3,2.767e+3,2.767e+3,
610.4,1.848e+3,1.848e+3,
610.6,7.016e+2,7.016e+2,
610.7,3.987e+2,3.987e+2,
610.8,2.147e+2,2.147e+2,
611,5.299e+1,5.299e+1,
611.1,2.428e+1,2.428e+1,
611.2,1.054e+1,1.054e+1,
611.3,4.339e+0,4.339e+0,
611.5,6.252e-1,6.252e-1,
611.6,2.190e-1,2.190e-1,
611.7,7.291e-2,7.291e-2,
611.9,1.082e-2,1.082e-2,
612,1.589e-2,1.589e-2,
612.1,4.653e-2,4.653e-2,
612.2,1.439e-1,1.439e-1,
612.4,1.198e+0,1.198e+0,
612.5,3.194e+0,3.194e+0,
612.6,8.074e+0,8.074e+0,
612.8,4.402e+1,4.402e+1,
612.9,9.492e+1,9.492e+1,
613,1.941e+2,1.941e+2,
613.1,3.765e+2,3.765e+2,
613.3,1.208e+3,1.208e+3,
613.4,1.999e+3,1.999e+3,
613.5,3.137e+3,3.137e+3,
613.7,6.588e+3,6.588e+3,
613.8,8.818e+3,8.818e+3,
613.9,1.119e+4,1.119e+4,
614.1,1.539e+4,1.539e+4,
614.2,1.666e+4,1.666e+4,
614.3,1.712e+4,1.712e+4,
614.4,1.668e+4,1.668e+4,
614.6,1.351e+4,1.351e+4,
614.7,1.124e+4,1.124e+4,
614.8,8.876e+3,8.876e+3,
615,4.755e+3,4.755e+3,
615.1,3.251e+3,3.251e+3,
615.2,2.161e+3,2.161e+3,
615.3,1.454e+3,1.454e+3,
615.5,9.756e+2,9.756e+2,
615.6,1.106e+3,1.106e+3,
615.7,1.430e+3,1.430e+3,
615.9,2.507e+3,2.507e+3,
616,3.156e+3,3.156e+3,
616.1,3.785e+3,3.785e+3,
616.2,4.314e+3,4.314e+3,
616.4,4.793e+3,4.793e+3,
616.5,4.671e+3,4.671e+3,
616.6,4.321e+3,4.321e+3,
616.8,3.167e+3,3.167e+3,
616.9,2.515e+3,2.515e+3,6.620e-46
617,1.905e+3,1.905e+3,4.404e-45
617.1,1.384e+3,1.384e+3,2.787e-44
617.3,6.777e+2,6.777e+2,9.524e-43
617.4,4.817e+2,4.817e+2,5.150e-42
617.5,3.666e+2,3.666e+2,2.645e-41
617.7,2.949e+2,2.949e+2,5.968e-40
617.8,3.023e+2,3.023e+2,2.623e-39
617.9,3.199e+2,3.199e+2,1.095e-38
618,3.376e+2,3.376e+2,4.339e-38
618.2,3.458e+2,3.458e+2,5.836e-37
618.3,3.298e+2,3.298e+2,1.981e-36
618.4,3.005e+2,3.005e+2,6.384e-36
618.6,2.159e+2,2.159e+2,5.683e-35
618.7,1.698e+2,1.698e+2,1.569e-34
618.8,1.269e+2,1.269e+2,4.118e-34
618.9,9.015e+1,9.015e+1,1.026e-33
619.1,3.910e+1,3.910e+1,5.473e-33
619.2,2.406e+1,2.406e+1,1.171e-32
619.3,1.449e+1,1.449e+1,2.381e-32
619.5,6.831e+0,6.831e+0,8.467e-32
619.6,7.023e+0,7.023e+0,1.481e-31
619.7,9.322e+0,9.322e+0,2.466e-31
619.8,1.365e+1,1.365e+1,3.908e-31
620,2.888e+1,2.888e+1,8.480e-31
620.1,4.031e+1,4.031e+1,1.162e-30
620.2,5.504e+1,5.504e+1,1.518e-30
620.4,1.010e+2,1.010e+2,2.250e-30
620.5,1.393e+2,1.393e+2,2.556e-30
620.6,1.960e+2,1.960e+2,2.773e-30
620.7,2.800e+2,2.800e+2,2.876e-30
620.9,5.692e+2,5.692e+2,2.703e-30
621,7.885e+2,7.885e+2,2.451e-30
621.1,1.057e+3,1.057e+3,2.126e-30
621.3,1.682e+3,1.682e+3,1.400e-30
621.4,1.981e+3,1.981e+3,1.063e-30
621.5,2.225e+3,2.225e+3,7.711e-31
621.6,2.378e+3,2.378e+3,5.347e-31
621.8,2.340e+3,2.340e+3,2.240e-31
621.9,2.152e+3,2.152e+3,1.352e-31
622,1.881e+3,1.881e+3,7.790e-32
622.2,1.233e+3,1.233e+3,2.240e-32
622.3,9.245e+2,9.245e+2,1.117e-32
622.4,6.586e+2,6.586e+2,5.309e-33
622.6,2.865e+2,2.865e+2,1.034e-33
622.7,1.750e+2,1.750e+2,4.240e-34
622.8,1.015e+2,1.015e+2,1.653e-34
622.9,5.591e+1,5.591e+1,6.132e-35
623.1,1.463e+1,1.463e+1,7.257e-36
623.2,7.068e+0,7.068e+0,2.315e-36
623.3,3.519e+0,3.519e+0,7.018e-37
623.5,2.221e+0,2.221e+0,5.542e-38
623.6,3.255e+0,3.255e+0,1.443e-38
623.7,5.301e+0,5.301e+0,3.571e-39
623.8,8.532e+0,8.532e+0,8.399e-40
624,1.932e+1,1.932e+1,3.986e-41
624.1,2.695e+1,2.695e+1,8.044e-42
624.2,3.573e+1,3.573e+1,1.547e-42
624.4,5.387e+1,5.387e+1,1.977e-43
624.5,6.130e+1,6.130e+1,7.840e-43
624.6,6.639e+1,6.639e+1,3.840e-42
624.7,6.863e+1,6.863e+1,1.805e-41
624.9,6.639e+1,6.639e+1,3.427e-40
625,6.588e+1,6.588e+1,1.384e-39
625.1,7.152e+1,7.152e+1,5.310e-39
625.3,1.374e+2,1.374e+2,6.717e-38
625.4,2.280e+2,2.280e+2,2.214e-37
625.5,3.880e+2,3.880e+2,6.937e-37
625.6,6.484e+2,6.484e+2,2.066e-36
625.8,1.604e+3,1.604e+3,1.573e-35
625.9,2.347e+3,2.347e+3,4.024e-35
626,3.266e+3,3.266e+3,9.784e-35
626.2,5.434e+3,5.434e+3,4.969e-34
626.3,6.495e+3,6.495e+3,1.038e-33
626.4,7.377e+3,7.377e+3,2.062e-33
626.5,7.962e+3,7.962e+3,3.895e-33
626.7,7.962e+3,7.962e+3,1.196e-32
626.8,7.376e+3,7.376e+3,1.946e-32
626.9,6.495e+3,6.495e+3,3.015e-32
627.1,4.321e+3,4.321e+3,6.273e-32
627.2,3.265e+3,3.265e+3,8.446e-32
627.3,2.345e+3,2.345e+3,1.089e-31
627.4,1.601e+3,1.601e+3,1.348e-31
627.6,6.399e+2,6.399e+2,1.858e-31
627.7,3.749e+2,3.749e+2,2.089e-31
627.8,2.087e+2,2.087e+2,2.301e-31
628,5.552e+1,5.552e+1,2.681e-31
628.1,2.653e+1,2.653e+1,2.863e-31
628.2,1.205e+1,1.205e+1,3.044e-31
628.3,5.211e+0,5.211e+0,3.223e-31
628.5,9.324e-1,9.324e-1,3.539e-31
628.6,5.782e-1,5.782e-1,3.648e-31
628.7,7.942e-1,7.942e-1,3.699e-31
628.9,3.806e+0,3.806e+0,3.568e-31
629,8.280e+0,8.280e+0,3.365e-31
629.1,1.717e+1,1.717e+1,3.073e-31
629.2,3.386e+1,3.386e+1,2.709e-31
629.4,1.133e+2,1.133e+2,1.869e-31
629.5,1.921e+2,1.921e+2,1.457e-31
629.6,3.098e+2,3.098e+2,1.085e-31
629.8,6.930e+2,6.930e+2,5.232e-32
629.9,9.611e+2,9.611e+2,3.382e-32
630,1.268e+3,1.268e+3,2.081e-32
630.1,1.590e+3,1.590e+3,1.219e-32
630.3,2.150e+3,2.150e+3,3.607e-33
630.4,2.318e+3,2.318e+3,1.820e-33
630.5,2.377e+3,2.377e+3,8.734e-34
630.7,2.150e+3,2.150e+3,1.730e-34
630.8,1.896e+3,1.896e+3,7.137e-35
630.9,1.590e+3,1.590e+3,2.800e-35
631.1,9.613e+2,9.613e+2,3.704e-36
631.2,6.934e+2,6.934e+2,1.249e-36
631.3,4.759e+2,4.759e+2,4.004e-37
631.4,3.115e+2,3.115e+2,1.220e-37
631.6,1.207e+2,1.207e+2,9.741e-39
631.7,7.868e+1,7.868e+1,2.551e-39
631.8,6.387e+1,6.387e+1,6.352e-40
632,1.158e+2,1.158e+2,3.384e-41
632.1,1.980e+2,1.980e+2,7.240e-42
