lam,int
541.47,1994.6
541.54,2030.8
541.61,2013.8
541.68,1959.0
541.76,1978.4
541.83,2054.3
541.90,2070.9
541.97,2073.1
542.04,2193.8
542.11,2269.1
542.18,2279.7
542.25,2349.9
542.32,2379.0
542.39,2464.1
542.46,2467.2
542.54,2405.5
542.61,2453.5
542.68,2485.4
542.75,2417.8
542.82,2211.9
542.89,2235.6
542.96,2350.4
543.03,2254.4
543.10,2242.7
543.17,2257.8
543.24,2344.8
543.32,2315.0
543.39,2200.5
543.46,2295.9
543.53,2324.2
543.60,2459.4
543.67,2367.5
543.74,2272.0
543.81,2400.3
543.88,2317.3
543.95,2306.0
544.02,2344.5
544.09,2448.4
544.17,2398.3
544.24,2331.3
544.31,2338.3
544.38,2314.9
544.45,2340.4
544.52,2291.7
544.59,2345.9
544.66,2379.0
544.73,2368.1
544.80,2245.8
544.87,2346.9
544.94,2413.9
545.01,2355.1
545.08,2343.1
545.16,2272.4
545.23,2383.3
545.30,2268.3
545.37,2139.6
545.44,2170.3
545.51,2240.6
545.58,2172.0
545.65,2029.0
545.72,2080.1
545.79,2175.8
545.86,2179.3
545.93,2099.6
546.00,2091.6
546.07,2169.5
546.15,2197.3
546.22,2181.7
546.29,2194.5
546.36,2241.0
546.43,2234.8
546.50,2133.7
546.57,2174.8
546.64,2190.1
546.71,2193.8
546.78,2180.2
546.85,2204.7
546.92,2230.9
546.99,2098.6
547.06,2046.7
547.13,2000.2
547.20,2095.0
547.27,2085.2
547.35,1980.9
547.42,2025.6
547.49,2095.7
547.56,2027.3
547.63,1932.8
547.70,2063.5
547.77,2194.7
547.84,2207.2
547.91,2155.5
547.98,2143.8
548.05,2169.5
548.12,2259.9
548.19,2221.5
548.26,2236.7
548.33,2382.3
548.40,2322.3
548.47,2223.6
548.54,2132.9
548.61,2191.3
548.68,2195.8
548.76,2132.4
548.83,2171.8
548.90,2182.8
548.97,2226.3
549.04,2097.8
549.11,2045.1
549.18,2129.0
549.25,2110.9
549.32,2123.9
549.39,2166.3
549.46,2228.0
549.53,2196.0
549.60,2171.6
549.67,2115.7
549.74,2116.1
549.81,2210.4
549.88,2150.2
549.95,2159.9
550.02,2190.7
550.09,2139.7
550.16,2044.3
550.23,2072.0
550.30,2186.7
550.37,2182.1
550.44,2179.4
550.51,2148.5
550.58,2113.3
550.66,2163.5
550.73,2103.0
550.80,2110.2
550.87,2241.8
550.94,2213.9
551.01,2136.8
551.08,2111.7
551.15,2180.9
551.22,2180.1
551.29,2147.8
551.36,2297.9
551.43,2468.8
551.50,2528.7
551.57,2522.1
551.64,2468.4
551.71,2557.0
551.78,2698.9
551.85,2576.2
551.92,2478.0
551.99,2524.5
552.06,2513.6
552.13,2386.9
552.20,2262.9
552.27,2251.2
552.34,2175.8
552.41,2161.7
552.48,2077.8
552.55,2155.2
552.62,2262.8
552.69,2307.1
552.76,2450.2
552.83,2460.6
552.90,2447.7
552.97,2336.7
553.04,2548.5
553.11,2612.9
553.18,2584.4
553.25,2608.5
553.32,2509.9
553.39,2569.4
553.46,2387.4
553.53,2258.4
553.60,2258.8
553.67,2315.1
553.74,2301.5
553.81,2088.9
553.88,2112.7
553.95,2176.5
554.02,2159.5
554.09,2064.0
554.16,2070.9
554.23,2223.1
554.30,2163.2
554.37,2077.9
554.44,2089.2
554.51,2152.2
554.58,2177.1
554.65,2130.5
554.72,2196.6
554.79,2189.3
554.86,2133.5
554.93,2044.1
555.00,1960.7
555.07,2111.0
555.14,2044.8
555.21,1996.0
555.28,1980.2
555.35,1986.7
555.42,2033.1
555.49,1978.9
555.56,2017.0
555.63,2058.0
555.70,2112.1
555.77,2041.4
555.84,2065.3
555.91,2165.8
555.98,2173.7
556.05,2252.2
556.12,2279.7
556.19,2253.5
556.26,2211.6
556.33,2136.4
556.40,2113.9
556.47,2240.9
556.54,2337.4
556.61,2227.5
556.68,2330.4
556.75,2477.1
556.82,2387.8
556.89,2330.8
556.96,2352.1
557.03,2416.8
557.10,2481.9
557.17,2511.6
557.24,2428.9
557.31,2492.3
557.38,2632.8
557.45,2595.4
557.52,2508.7
557.59,2494.3
557.66,2533.6
557.73,2428.9
557.80,2418.6
557.87,2454.9
557.94,2362.4
558.01,2252.5
558.08,2240.3
558.15,2227.2
558.22,2475.7
558.29,2519.0
558.36,2483.1
558.43,2603.5
558.50,2560.7
558.57,2567.0
558.64,2470.6
558.71,2720.3
558.77,2664.3
558.84,2611.2
558.91,2468.4
558.98,2192.7
559.05,2166.7
559.12,2083.2
559.19,2090.1
559.26,2106.9
559.33,2193.8
559.40,2065.8
559.47,2038.4
559.54,2048.0
559.61,2101.5
559.68,2130.1
559.75,2104.8
559.82,2170.8
559.89,2112.8
559.96,2076.8
560.03,2144.1
560.10,2212.3
560.17,2219.2
560.24,2165.2
560.31,2163.9
560.38,2154.1
560.45,2072.4
560.52,2017.7
560.58,2076.9
560.65,2319.8
560.72,2307.3
560.79,2211.5
560.86,2216.3
560.93,2253.2
561.00,2259.4
561.07,2262.1
561.14,2324.9
561.21,2314.2
561.28,2391.8
561.35,2204.2
561.42,2093.6
561.49,2102.5
561.56,2018.9
561.63,1949.8
561.70,1983.8
561.77,2107.6
561.84,2070.9
561.91,2029.7
561.97,2013.9
562.04,2116.0
562.11,2123.0
562.18,2056.7
562.25,2150.6
562.32,2283.2
562.39,2260.1
562.46,2221.0
562.53,2199.9
562.60,2180.6
562.67,2250.6
562.74,2264.0
562.81,2191.0
562.88,2310.5
562.95,2449.2
563.02,2314.6
563.09,2234.2
563.15,2276.0
563.22,2202.4
563.29,2142.6
563.36,2268.6
563.43,2263.3
563.50,2333.6
563.57,2328.4
563.64,2204.4
563.71,2159.8
563.78,2178.1
563.85,2305.4
563.92,2272.4
563.99,2366.0
564.06,2325.6
564.12,2222.1
564.19,2161.5
564.26,2169.0
564.33,2261.0
564.40,2175.3
564.47,2231.4
564.54,2226.4
564.61,2215.8
564.68,2178.1
564.75,2192.7
564.82,2199.5
564.89,2201.2
564.96,2272.4
565.03,2156.8
565.09,2173.9
565.16,2221.5
565.23,2207.2
565.30,2193.5
565.37,2158.7
565.44,2155.4
565.51,2163.4
565.58,2180.6
565.65,2186.5
565.72,2144.9
565.79,2065.6
565.86,2029.1
565.92,2285.6
565.99,2316.1
566.06,2157.6
566.13,2214.7
566.20,2299.4
566.27,2279.1
566.34,2239.6
566.41,2330.1
566.48,2283.9
566.55,2391.3
566.62,2366.4
566.68,2113.1
566.75,2124.6
566.82,2182.3
566.89,2071.1
566.96,2021.8
567.03,2101.4
567.10,2168.3
567.17,2128.7
567.24,2193.5
567.31,2217.8
567.37,2152.3
567.44,2117.8
567.51,2098.7
567.58,2186.5
567.65,2142.2
567.72,2120.6
567.79,2074.9
567.86,2011.9
567.93,1973.3
568.00,1901.2
568.06,1914.7
568.13,1987.6
568.20,2106.4
568.27,2089.0
568.34,2108.9
568.41,2193.9
568.48,2165.2
568.55,2129.6
568.62,2109.2
568.69,2117.5
568.75,2106.1
568.82,2065.6
568.89,2046.7
568.96,2063.0
569.03,2014.8
569.10,2038.3
569.17,2087.5
569.24,2149.4
569.31,2155.3
569.37,2114.8
569.44,2158.0
569.51,2147.8
569.58,2135.0
569.65,2035.4
569.72,2037.1
569.79,2063.8
569.86,2017.9
569.92,1947.0
569.99,1877.4
570.06,1968.8
570.13,2017.1
570.20,2009.5
570.27,1998.8
570.34,2110.2
570.41,2194.8
570.48,2122.1
570.54,2137.0
570.61,2147.5
570.68,2210.3
570.75,2164.3
570.82,2114.3
570.89,2220.1
570.96,2187.8
571.03,2183.4
571.09,2102.7
571.16,2178.2
571.23,2195.3
571.30,2144.7
571.37,2203.6
571.44,2169.9
571.51,2279.6
571.57,2221.6
571.64,2217.1
571.71,2251.0
571.78,2264.7
571.85,2221.3
571.92,2147.2
571.99,2234.1
572.06,2212.5
572.12,2209.7
572.19,2255.9
572.26,2308.2
572.33,2301.7
572.40,2226.1
572.47,2241.4
572.54,2332.4
572.60,2334.3
572.67,2304.1
572.74,2304.4
572.81,2326.8
572.88,2274.7
572.95,2169.2
573.02,2166.7
573.08,2176.7
573.15,2249.6
573.22,2174.6
573.29,2148.9
573.36,2180.6
573.43,2110.2
573.50,2083.1
573.56,2049.9
573.63,2142.6
573.70,2118.0
573.77,2128.2
573.84,2143.4
573.91,2111.5
573.98,2137.2
574.04,2084.6
574.11,2169.3
574.18,2182.5
574.25,2199.5
574.32,2172.6
574.39,2159.2
574.45,2236.1
574.52,2156.6
574.59,2158.8
574.66,2136.2
574.73,2180.9
574.80,2167.2
574.87,2055.4
574.93,2143.7
575.00,2170.4
575.07,2198.6
575.14,2227.4
575.21,2265.2
575.28,2324.1
575.34,2269.2
575.41,2280.7
575.48,2318.9
575.55,2404.0
575.62,2399.2
575.69,2342.3
575.75,2357.8
575.82,2455.0
575.89,2416.4
575.96,2361.2
576.03,2439.3
576.10,2484.7
576.16,2498.8
576.23,2356.7
576.30,2429.4
576.37,2489.1
576.44,2491.9
576.51,2591.6
576.57,2480.0
576.64,2514.4
576.71,2498.8
