lam,Sum,HeI,HeII
670.2,9.442e-4,9.442e-4,
670.3,3.147e-4,3.147e-4,
670.5,3.056e-5,3.056e-5,
670.6,8.904e-6,8.904e-6,
670.7,2.480e-6,2.480e-6,
670.8,6.606e-7,6.606e-7,
671,4.097e-8,4.097e-8,
671.1,9.538e-9,9.538e-9,
671.2,2.123e-9,2.123e-9,
671.4,9.198e-11,9.198e-11,
671.5,1.790e-11,1.790e-11,
671.6,3.330e-12,3.330e-12,
671.7,5.924e-13,5.924e-13,
671.9,1.639e-14,1.639e-14,
702.3,5.246e-14,5.246e-14,
702.4,2.769e-13,2.769e-13,
702.5,1.404e-12,1.404e-12,
702.7,3.203e-11,3.203e-11,
702.8,1.441e-10,1.441e-10,
702.9,6.226e-10,6.226e-10,
703,2.585e-9,2.585e-9,
703.2,3.951e-8,3.951e-8,
703.3,1.455e-7,1.455e-7,
703.4,5.146e-7,5.146e-7,
703.6,5.712e-6,5.712e-6,
703.7,1.792e-5,1.792e-5,
703.8,5.402e-5,5.402e-5,
703.9,1.565e-4,1.565e-4,
704.1,1.164e-3,1.164e-3,
704.2,2.990e-3,2.990e-3,
704.3,7.378e-3,7.378e-3,
704.5,3.986e-2,3.986e-2,
704.6,8.725e-2,8.725e-2,
704.7,1.835e-1,1.835e-1,
704.8,3.708e-1,3.708e-1,
705,1.343e+0,1.343e+0,
705.1,2.407e+0,2.407e+0,
705.2,4.145e+0,4.145e+0,
705.4,1.090e+1,1.090e+1,
705.5,1.666e+1,1.666e+1,
705.6,2.445e+1,2.445e+1,
705.7,3.448e+1,3.448e+1,
705.9,6.083e+1,6.083e+1,
706,7.610e+1,7.610e+1,
706.1,9.148e+1,9.148e+1,
706.3,1.173e+2,1.173e+2,
706.4,1.250e+2,1.250e+2,
706.5,1.281e+2,1.281e+2,
706.6,1.261e+2,1.261e+2,
706.8,1.085e+2,1.085e+2,
706.9,9.474e+1,9.474e+1,
707,7.952e+1,7.952e+1,
707.2,4.970e+1,4.970e+1,
707.3,3.701e+1,3.701e+1,
707.4,2.648e+1,2.648e+1,
707.5,1.821e+1,1.821e+1,
707.7,7.640e+0,7.640e+0,
707.8,4.661e+0,4.661e+0,
707.9,2.733e+0,2.733e+0,
708.1,8.336e-1,8.336e-1,
708.2,4.337e-1,4.337e-1,
708.3,2.168e-1,2.168e-1,
708.5,4.810e-2,4.810e-2,
708.6,2.134e-2,2.134e-2,
708.7,9.101e-3,9.101e-3,
708.8,3.729e-3,3.729e-3,
709,5.557e-4,5.557e-4,
709.1,2.021e-4,2.021e-4,
709.2,7.064e-5,7.064e-5,
709.4,7.659e-6,7.659e-6,
709.5,2.376e-6,2.376e-6,
709.6,7.084e-7,7.084e-7,
709.7,2.030e-7,2.030e-7,
709.9,1.479e-8,1.479e-8,
710,3.762e-9,3.762e-9,
710.1,9.197e-10,9.197e-10,
710.3,4.878e-11,4.878e-11,
710.4,1.059e-11,1.059e-11,
710.5,2.208e-12,2.208e-12,
710.6,4.425e-13,4.425e-13,
710.8,1.579e-14,1.579e-14,
710.9,1.174e-15,1.174e-15,
723.8,1.546e-14,1.546e-14,
723.9,7.681e-14,7.681e-14,
724,3.676e-13,3.676e-13,
724.2,7.515e-12,7.515e-12,
724.3,3.211e-11,3.211e-11,
724.4,1.321e-10,1.321e-10,
724.5,5.236e-10,5.236e-10,
724.7,7.342e-9,7.342e-9,
724.8,2.598e-8,2.598e-8,
724.9,8.853e-8,8.853e-8,
725.1,9.180e-7,9.180e-7,
725.2,2.793e-6,2.793e-6,
725.3,8.186e-6,8.186e-6,
725.5,6.277e-5,6.277e-5,
725.6,1.642e-4,1.642e-4,
725.7,4.139e-4,4.139e-4,
725.8,1.004e-3,1.004e-3,
726,5.281e-3,5.281e-3,
726.1,1.144e-2,1.144e-2,
726.2,2.388e-2,2.388e-2,
726.4,9.286e-2,9.286e-2,
726.5,1.730e-1,1.730e-1,
726.6,3.105e-1,3.105e-1,
726.7,5.366e-1,5.366e-1,
726.9,1.431e+0,1.431e+0,
727,2.208e+0,2.208e+0,
727.1,3.281e+0,3.281e+0,
727.3,6.470e+0,6.470e+0,
727.4,8.585e+0,8.585e+0,
727.5,1.097e+1,1.097e+1,
727.6,1.350e+1,1.350e+1,
727.8,1.826e+1,1.826e+1,
727.9,2.006e+1,2.006e+1,
728,2.123e+1,2.123e+1,
728.2,2.123e+1,2.123e+1,
728.3,2.006e+1,2.006e+1,
728.4,1.826e+1,1.826e+1,
728.5,1.600e+1,1.600e+1,
728.7,1.097e+1,1.097e+1,
728.8,8.585e+0,8.585e+0,
728.9,6.470e+0,6.470e+0,
729.1,3.281e+0,3.281e+0,
729.2,2.208e+0,2.208e+0,
729.3,1.431e+0,1.431e+0,
729.4,8.929e-1,8.929e-1,
729.6,3.105e-1,3.105e-1,
729.7,1.730e-1,1.730e-1,
729.8,9.286e-2,9.286e-2,
730,2.388e-2,2.388e-2,
730.1,1.144e-2,1.144e-2,
730.2,5.281e-3,5.281e-3,
730.3,2.347e-3,2.347e-3,
730.5,4.139e-4,4.139e-4,
730.6,1.642e-4,1.642e-4,
730.7,6.277e-5,6.277e-5,
730.9,8.186e-6,8.186e-6,
731,2.793e-6,2.793e-6,
731.1,9.180e-7,9.180e-7,
731.2,2.905e-7,2.905e-7,
731.4,2.598e-8,2.598e-8,
731.5,7.342e-9,7.342e-9,
731.6,1.998e-9,1.998e-9,
731.8,1.321e-10,1.321e-10,
731.9,3.211e-11,3.211e-11,
732,7.515e-12,7.515e-12,
732.1,1.694e-12,1.694e-12,
732.3,7.681e-14,7.681e-14,
732.4,1.546e-14,1.546e-14,
732.5,2.996e-15,2.996e-15,
