1.1515770E+0,-3.2139944E-2,-4.7339129E-2,-4.3697658E-2,-3.9041045E-2,-5.3178522E-2,-4.1546303E-2,-3.3322724E-2,-4.1369351E-2,0.0000000E+0,0.0000000E+0
2.9091930E+0,-3.2456594E-2,-4.7618526E-2,-4.3893236E-2,-3.9022418E-2,-5.3141269E-2,-4.1378664E-2,-3.3089893E-2,-4.1211026E-2,0.0000000E+0,0.0000000E+0
4.6643763E+0,-3.2726677E-2,-4.7991055E-2,-4.3902549E-2,-3.8957226E-2,-5.3178522E-2,-4.1304159E-2,-3.3080580E-2,-4.1173773E-2,0.0000000E+0,0.0000000E+0
6.4196625E+0,-3.3453109E-2,-4.7963115E-2,-4.4126066E-2,-3.9031731E-2,-5.3169209E-2,-4.1322785E-2,-3.3434482E-2,-4.1127207E-2,0.0000000E+0,0.0000000E+0
8.1760979E+0,-3.4077095E-2,-4.8317018E-2,-4.4172632E-2,-3.9227309E-2,-5.2964318E-2,-4.1304159E-2,-3.3751132E-2,-4.1089954E-2,0.0000000E+0,0.0000000E+0
9.9320707E+0,-3.4468251E-2,-4.8484656E-2,-4.4228512E-2,-3.9283189E-2,-5.3048137E-2,-4.1266906E-2,-3.4077095E-2,-4.1211026E-2,0.0000000E+0,0.0000000E+0
1.1687810E+1,-3.4682455E-2,-4.8168006E-2,-4.4265765E-2,-3.9301815E-2,-5.2982944E-2,-4.1285532E-2,-3.3974650E-2,-4.1173773E-2,0.0000000E+0,0.0000000E+0
1.3442690E+1,-3.4216793E-2,-4.8112127E-2,-4.4414776E-2,-3.9450827E-2,-5.2824620E-2,-4.1248279E-2,-3.3779072E-2,-4.1192400E-2,0.0000000E+0,0.0000000E+0
1.5199197E+1,-3.3527615E-2,-4.7599900E-2,-4.4479969E-2,-3.9208683E-2,-5.2861872E-2,-4.1127207E-2,-3.4011902E-2,-4.1127207E-2,0.0000000E+0,0.0000000E+0
1.6955278E+1,-3.2577666E-2,-4.6361241E-2,-4.4647607E-2,-3.9385634E-2,-5.2740801E-2,-4.1183087E-2,-3.2940881E-2,-4.1117894E-2,0.0000000E+0,0.0000000E+0
1.8711605E+1,-3.2344835E-2,-4.5355412E-2,-4.4824558E-2,-3.9432200E-2,-5.2759427E-2,-4.1285532E-2,-3.2596292E-2,-4.1052702E-2,0.0000000E+0,0.0000000E+0
