F,I_a,I_10,I_12,sigma
8.98,96.98,0.97,11.55,3.45
6.89,76.98,0.75,8.89,3.44
5.32,56.98,0.56,6.57,3.43
4.17,46.98,0.45,5.34,3.45
3.32,37.98,0.36,4.3,3.46
2.68,29.98,0.29,3.54,3.49
2.14,23.98,0.23,2.73,3.45
1.59,19.98,0.18,2.16,3.46
