v1,v2,r,q,n
3.302,1.641,8.189,3.452,3.0
2.046,1.157,5.99,1.636,2.0
5.104,3.694,7.544,5.661,4.0
3.385,1.641,8.39,3.597,3.0
3.302,1.641,8.189,3.453,3.0
5.104,3.694,7.544,5.662,4.0
5.405,3.331,9.15,6.818,5.0
5.405,3.331,9.15,6.818,5.0
7.186,4.591,10.235,10.281,7.0
5.104,3.694,7.544,5.662,4.0
3.302,1.641,8.189,3.453,3.0
7.186,4.591,10.235,10.281,7.0
