v1,v2
2.9548,1.5488
2.1962,1.1552
3.7997,1.9829
2.12493,1.5489
2.9956,1.479
3.799803,1.983
4.5118,2.7829
4.4919,2.38304
6.3127,4.4466
3.79995,1.9831
