v1,v2
2.4547,1.5168
1.5523,0.9682
2.9664,1.3984
2.5547,1.6168
2.6547,1.7168
3.0664,1.4981
3.6842,2.1465
3.7845,2.2412
5.644,4.4193
3.1664,1.5984
2.7547,1.8168
5.744,4.5193
3.8814,2.3467
