U,lam,E,D,S
0.01,1170.0,1.06,133.86,0.08
0.02,1141.0,1.09,136.82,0.15
0.05,1100.0,1.13,141.52,0.35
0.07,1077.0,1.15,144.47,0.48
0.1,1060.0,1.17,146.81,0.68
0.12,1051.0,1.18,148.1,0.81
0.15,1037.5,1.2,150.13,1.0
0.18,1024.0,1.21,152.25,1.18
0.2,990.0,1.25,158.08,1.27
0.18,959.0,1.29,164.05,1.1
0.15,927.0,1.34,170.91,0.88
0.12,910.0,1.36,174.87,0.69
0.1,887.0,1.4,180.61,0.55
0.07,856.0,1.45,189.04,0.37
0.05,816.0,1.52,201.23,0.25
