2,0000000	21,0000000	0,0007217	1087,0493106	1117,5469230
1,0000000	25,0000000	0,0008796	1099,5669126	1137,3087250
1,0000000	30,0000000	0,0011079	1118,0976700	1164,4398966
1,0000000	35,0000000	0,0013593	1138,3964502	1193,8397702
0,0000000	40,0000000	0,0016057	1156,6386912	1221,1668325
0,0000000	50,0000000	0,0020258	1193,2627376	1277,3392664
0,0000000	55,0000000	0,0022587	1211,1801631	1305,3603950
0,0000000	60,0000000	0,0024818	1229,8579949	1335,1626894
0,0000000	66,0000000	0,0027608	1252,8397890	1373,6067041
0,0000000	70,0000000	0,0029239	1265,5764380	1395,5220518
0,0000000	75,0000000	0,0031548	1284,3118479	1427,1831171
0,0000000	80,0000000	0,0033876	1303,0960741	1458,7071215
