p,r_a,r_b,r_c,mu_ab,mu_bc
1,0.0925,0.2864,0.3969,10.018+/-0.024,10.14+/-0.05
2,0.1582,0.3149,0.4195,10.518+/-0.033,9.80+/-0.06
3,0.2061,0.3406,0.4407,,
