p,r_a,r_b,r_c,mu_ab,mu_bc
1,0.1051,0.2898,0.4009,9.053+/-0.027,10.32+/-0.06
2,0.1553,0.3157,0.4188,10.968+/-0.035,9.45+/-0.06
3,0.2013,0.3374,0.4383,,
