p,r_a,r_b,r_c,mu_ab,mu_bc
1,0.1245,0.299,0.4078,9.04+/-0.04,9.14+/-0.08
2,0.1572,0.3148,0.4228,10.91+/-0.05,9.82+/-0.08
3,0.1895,0.3315,0.4333,,
