p,r_a,r_b,r_c,mu_ab,mu_bc
1,0.0875,0.2841,0.3986,9.485+/-0.021,9.38+/-0.05
2,0.1573,0.3143,0.4207,9.962+/-0.030,9.82+/-0.05
3,0.2072,0.3431,0.442,,
