p,r_a,r_b,r_c,mu_ab,mu_bc
1,0.1135,0.2929,0.4051,9.834+/-0.033,10.15+/-0.07
2,0.1574,0.3146,0.4223,10.36+/-0.04,10.07+/-0.07
3,0.1937,0.335,0.4368,,
