p,r_a,r_b,r_c,mu_ab,mu_bc
1,0.0827,0.2805,0.3948,9.956+/-0.021,10.69+/-0.04
2,0.1596,0.3165,0.4186,9.379+/-0.028,9.33+/-0.05
3,0.2091,0.3441,0.4438,,
