tau,tk_1,tk_2,t0_1,t0_2
324.017,17.2,17.2,20.4,20.3
326.022,17.2,17.2,20.4,20.3
328.027,17.3,17.2,20.4,20.3
330.032,17.3,17.2,20.4,20.3
332.037,17.3,17.3,20.4,20.3
334.042,17.4,17.3,20.4,20.3
336.047,17.4,17.3,20.4,20.3
338.051,17.4,17.4,20.4,20.3
340.056,17.4,17.4,20.4,20.3
342.059,17.5,17.4,20.4,20.3
344.066,17.5,17.4,20.4,20.3
346.071,17.5,17.5,20.4,20.3
348.074,17.5,17.5,20.4,20.3
350.078,17.6,17.5,20.4,20.3
352.083,17.6,17.5,20.4,20.3
354.088,17.6,17.6,20.4,20.3
356.094,17.7,17.6,20.4,20.3
358.098,17.7,17.6,20.4,20.3
360.102,17.7,17.7,20.4,20.3
362.107,17.7,17.7,20.4,20.3
364.112,17.8,17.7,20.3,20.3
366.116,17.8,17.7,20.3,20.3
368.12,17.8,17.8,20.3,20.3
370.122,17.8,17.8,20.3,20.3
372.126,17.9,17.8,20.3,20.3
374.131,17.9,17.9,20.3,20.3
376.135,17.9,17.9,20.3,20.3
378.14,18,17.9,20.3,20.3
380.146,18,17.9,20.3,20.3
382.15,18,18,20.3,20.3
384.155,18,18,20.3,20.3
386.16,18.1,18,20.3,20.3
388.163,18.1,18,20.3,20.3
390.169,18.1,18.1,20.3,20.3
392.172,18.1,18.1,20.3,20.3
394.175,18.2,18.1,20.3,20.3
396.181,18.2,18.1,20.3,20.3
398.187,18.2,18.2,20.3,20.2
400.192,18.3,18.2,20.3,20.2
402.198,18.3,18.2,20.3,20.2
404.202,18.3,18.3,20.3,20.2
406.206,18.3,18.3,20.3,20.2
408.212,18.4,18.3,20.3,20.2
410.215,18.4,18.3,20.3,20.2
412.221,18.4,18.4,20.3,20.2
414.225,18.4,18.4,20.3,20.2
416.229,18.5,18.4,20.3,20.2
418.234,18.5,18.5,20.3,20.2
420.239,18.5,18.5,20.3,20.2
422.243,18.6,18.5,20.3,20.2
424.249,18.6,18.5,20.3,20.2
426.254,18.6,18.6,20.3,20.2
428.259,18.6,18.6,20.3,20.2
430.262,18.7,18.6,20.3,20.2
432.266,18.7,18.6,20.3,20.2
434.271,18.7,18.7,20.3,20.2
436.274,18.7,18.7,20.2,20.2
438.28,18.8,18.7,20.2,20.2
440.286,18.8,18.7,20.2,20.2
442.292,18.8,18.8,20.2,20.2
444.297,18.9,18.8,20.2,20.2
446.3,18.9,18.8,20.2,20.2
448.304,18.9,18.9,20.2,20.2
450.31,18.9,18.9,20.2,20.2
452.315,19,18.9,20.2,20.2
454.318,19,18.9,20.2,20.2
456.322,19,19,20.2,20.2
458.327,19,19,20.2,20.2
460.331,19.1,19,20.2,20.2
462.336,19.1,19,20.2,20.2
464.34,19.1,19.1,20.2,20.2
466.345,19.1,19.1,20.2,20.2
468.348,19.2,19.1,20.2,20.2
470.352,19.2,19.2,20.2,20.2
472.358,19.2,19.2,20.2,20.2
474.362,19.3,19.2,20.2,20.2
476.368,19.3,19.2,20.2,20.2
478.372,19.3,19.3,20.2,20.2
480.379,19.3,19.3,20.2,20.2
482.382,19.4,19.3,20.2,20.2
484.388,19.4,19.3,20.2,20.2
486.394,19.4,19.4,20.2,20.2
488.401,19.4,19.4,20.2,20.2
490.406,19.5,19.4,20.2,20.2
492.41,19.5,19.4,20.2,20.2
494.415,19.5,19.5,20.2,20.2
496.418,19.5,19.5,20.2,20.2
498.421,19.6,19.5,20.2,20.2
500.426,19.6,19.6,20.2,20.2
502.43,19.6,19.6,20.2,20.2
504.435,19.7,19.6,20.2,20.2
506.437,19.7,19.6,20.2,20.2
508.441,19.7,19.7,20.2,20.2
510.446,19.7,19.7,20.2,20.2
512.451,19.8,19.7,20.2,20.2
514.457,19.8,19.7,20.2,20.2
516.46,19.8,19.8,20.2,20.2
518.465,19.8,19.8,20.2,20.2
520.469,19.9,19.8,20.2,20.2
522.475,19.9,19.8,20.2,20.2
524.48,19.9,19.9,20.2,20.2
526.486,19.9,19.9,20.2,20.2
528.49,20,19.9,20.2,20.2
530.495,20,19.9,20.2,20.2
532.499,20,20,20.2,20.2
534.504,20.1,20,20.2,20.2
536.51,20.1,20,20.2,20.2
538.513,20.1,20.1,20.2,20.2
540.517,20.1,20.1,20.2,20.2
542.521,20.2,20.1,20.2,20.2
544.525,20.2,20.1,20.2,20.1
546.529,20.2,20.2,20.2,20.1
548.534,20.2,20.2,20.1,20.1
550.538,20.3,20.2,20.1,20.1
552.544,20.3,20.2,20.1,20.1
554.548,20.3,20.3,20.1,20.1
556.553,20.3,20.3,20.1,20.1
558.559,20.4,20.3,20.1,20.1
560.565,20.4,20.3,20.1,20.1
562.569,20.4,20.4,20.1,20.1
564.573,20.4,20.4,20.1,20.1
566.578,20.5,20.4,20.1,20.1
568.586,20.5,20.5,20.1,20.1
570.591,20.5,20.5,20.1,20.1
572.596,20.6,20.5,20.1,20.1
574.6,20.6,20.5,20.1,20.1
576.605,20.6,20.6,20.1,20.1
578.61,20.6,20.6,20.1,20.1
580.613,20.7,20.6,20.1,20.1
582.617,20.7,20.6,20.1,20.1
584.622,20.7,20.7,20.1,20.1
586.625,20.7,20.7,20.1,20.1
588.63,20.8,20.7,20.1,20.1
590.635,20.8,20.7,20.1,20.1
592.638,20.8,20.8,20.1,20.1
594.644,20.8,20.8,20.1,20.1
596.648,20.9,20.8,20.1,20.1
598.653,20.9,20.8,20.1,20.1
600.657,20.9,20.9,20.1,20.1
602.662,20.9,20.9,20.1,20.1
604.667,21,20.9,20.1,20.1
606.673,21,20.9,20.1,20.1
608.677,21,21,20.1,20.1
610.681,21,21,20.1,20.1
612.684,21.1,21,20.1,20.1
614.689,21.1,21,20.1,20.1
616.695,21.1,21.1,20.1,20.1
618.699,21.2,21.1,20.1,20.1
620.703,21.2,21.1,20.1,20.1
622.707,21.2,21.2,20.1,20.1
624.714,21.2,21.2,20.1,20.1
626.717,21.3,21.2,20.1,20.1
628.723,21.3,21.2,20.1,20.1
630.727,21.3,21.3,20.1,20.1
632.732,21.3,21.3,20.1,20.1
634.737,21.4,21.3,20.1,20.1
636.741,21.4,21.3,20.1,20.1
638.745,21.4,21.4,20.1,20.1
640.751,21.4,21.4,20.1,20.1
642.755,21.5,21.4,20.1,20.1
644.759,21.5,21.4,20.1,20.1
646.763,21.5,21.5,20.1,20.1
648.768,21.5,21.5,20.1,20.1
650.773,21.6,21.5,20.1,20.1
652.779,21.6,21.5,20.1,20.1
654.783,21.6,21.6,20.1,20.1
656.787,21.6,21.6,20.1,20.1
658.793,21.7,21.6,20.1,20.1
660.799,21.7,21.6,20.1,20.1
662.802,21.7,21.7,20.1,20.1
664.805,21.7,21.7,20.1,20.1
666.812,21.8,21.7,20.1,20.1
668.817,21.8,21.7,20.2,20.1
670.821,21.8,21.8,20.2,20.2
672.825,21.8,21.8,20.2,20.2
674.832,21.9,21.8,20.2,20.2
676.837,21.9,21.8,20.2,20.2
678.841,21.9,21.9,20.2,20.2
680.847,21.9,21.9,20.2,20.2
682.852,22,21.9,20.2,20.2
684.857,22,22,20.3,20.2
686.862,22,22,20.3,20.3
688.867,22.1,22,20.3,20.3
690.873,22.1,22,20.3,20.3
692.879,22.1,22.1,20.3,20.3
694.884,22.1,22.1,20.3,20.3
696.889,22.2,22.1,20.3,20.3
698.893,22.2,22.1,20.3,20.3
700.897,22.2,22.2,20.3,20.3
702.902,22.2,22.2,20.3,20.3
704.908,22.3,22.2,20.3,20.3
706.913,22.3,22.2,20.3,20.3
708.916,22.3,22.3,20.3,20.3
710.92,22.3,22.3,20.3,20.3
712.924,22.4,22.3,20.3,20.3
714.928,22.4,22.3,20.3,20.3
716.931,22.4,22.4,20.3,20.3
718.935,22.4,22.4,20.3,20.3
720.939,22.5,22.4,20.3,20.3
722.943,22.5,22.4,20.3,20.3
724.947,22.5,22.5,20.3,20.3
726.95,22.5,22.5,20.3,20.3
728.955,22.6,22.5,20.3,20.3
730.961,22.6,22.5,20.3,20.3
732.967,22.6,22.6,20.3,20.3
734.972,22.6,22.6,20.3,20.3
736.977,22.7,22.6,20.3,20.3
738.983,22.7,22.6,20.3,20.3
740.989,22.7,22.7,20.3,20.3
742.995,22.7,22.7,20.3,20.3
745.001,22.8,22.7,20.3,20.3
747.006,22.8,22.7,20.3,20.3
749.01,22.8,22.8,20.3,20.3
751.014,22.8,22.8,20.3,20.3
753.018,22.9,22.8,20.3,20.3
755.024,22.9,22.8,20.3,20.3
757.028,22.9,22.9,20.3,20.3
759.032,22.9,22.9,20.3,20.3
761.036,23,22.9,20.2,20.3
763.041,23,22.9,20.2,20.3
765.046,23,23,20.2,20.3
767.051,23,23,20.2,20.2
769.055,23.1,23,20.2,20.2
771.058,23.1,23,20.2,20.2
773.061,23.1,23.1,20.2,20.2
775.066,23.1,23.1,20.2,20.2
777.071,23.2,23.1,20.2,20.2
779.076,23.2,23.1,20.2,20.2
781.079,23.2,23.2,20.2,20.2
783.085,23.2,23.2,20.2,20.2
785.09,23.3,23.2,20.2,20.2
787.095,23.3,23.2,20.2,20.2
789.1,23.3,23.3,20.2,20.2
791.104,23.3,23.3,20.2,20.2
793.108,23.4,23.3,20.2,20.2
795.112,23.4,23.3,20.2,20.2
797.117,23.4,23.4,20.2,20.2
799.12,23.4,23.4,20.2,20.2
801.125,23.5,23.4,20.2,20.2
803.13,23.5,23.4,20.2,20.2
805.135,23.5,23.5,20.2,20.2
807.14,23.5,23.5,20.2,20.2
809.145,23.6,23.5,20.2,20.2
811.149,23.6,23.5,20.2,20.2
813.154,23.6,23.6,20.2,20.2
815.159,23.6,23.6,20.2,20.2
817.164,23.7,23.6,20.2,20.2
819.168,23.7,23.6,20.2,20.2
821.176,23.7,23.7,20.2,20.2
823.179,23.7,23.7,20.2,20.2
825.186,23.8,23.7,20.2,20.2
827.189,23.8,23.7,20.2,20.2
829.195,23.8,23.8,20.2,20.2
831.199,23.8,23.8,20.2,20.2
833.205,23.9,23.8,20.2,20.2
835.208,23.9,23.8,20.2,20.2
837.213,23.9,23.9,20.2,20.2
839.219,23.9,23.9,20.2,20.2
841.224,24,23.9,20.2,20.2
843.229,24,23.9,20.2,20.2
845.235,24,24,20.2,20.2
847.238,24,24,20.2,20.2
849.243,24.1,24,20.2,20.2
851.248,24.1,24,20.2,20.2
853.253,24.1,24.1,20.2,20.2
855.258,24.1,24.1,20.2,20.2
857.262,24.2,24.1,20.2,20.2
859.267,24.2,24.1,20.2,20.2
861.272,24.2,24.2,20.2,20.2
863.277,24.2,24.2,20.2,20.2
865.282,24.3,24.2,20.2,20.2
867.286,24.3,24.2,20.2,20.2
869.292,24.3,24.3,20.2,20.2
871.297,24.3,24.3,20.2,20.2
873.302,24.4,24.3,20.2,20.2
875.306,24.4,24.3,20.2,20.2
877.311,24.4,24.4,20.2,20.2
879.315,24.4,24.4,20.2,20.2
881.319,24.5,24.4,20.2,20.2
883.324,24.5,24.4,20.2,20.2
885.328,24.5,24.5,20.2,20.2
887.332,24.5,24.5,20.2,20.2
889.338,24.6,24.5,20.2,20.2
891.342,24.6,24.5,20.2,20.2
893.347,24.6,24.6,20.2,20.2
895.353,24.6,24.6,20.2,20.2
897.358,24.7,24.6,20.2,20.2
899.364,24.7,24.6,20.2,20.2
901.369,24.7,24.7,20.2,20.2
903.373,24.7,24.7,20.2,20.2
905.377,24.8,24.7,20.2,20.2
907.381,24.8,24.7,20.2,20.2
909.386,24.8,24.8,20.2,20.2
911.393,24.8,24.8,20.2,20.2
913.397,24.9,24.8,20.2,20.2
915.401,24.9,24.8,20.2,20.2
917.406,24.9,24.9,20.2,20.2
919.412,24.9,24.9,20.2,20.2
921.415,25,24.9,20.2,20.2
923.42,25,24.9,20.2,20.2
925.425,25,25,20.2,20.2
927.43,25,25,20.2,20.2
929.433,25.1,25,20.2,20.2
931.438,25.1,25,20.2,20.2
933.445,25.1,25.1,20.2,20.2
935.449,25.1,25.1,20.3,20.2
937.453,25.2,25.1,20.3,20.2
939.46,25.2,25.1,20.3,20.2
941.464,25.2,25.2,20.3,20.3
943.469,25.2,25.2,20.3,20.3
945.474,25.2,25.2,20.3,20.2
947.479,25.3,25.2,20.3,20.2
949.483,25.3,25.3,20.3,20.2
951.488,25.3,25.3,20.3,20.2
953.494,25.3,25.3,20.3,20.2
955.498,25.4,25.3,20.2,20.2
957.503,25.4,25.3,20.3,20.2
959.508,25.4,25.4,20.3,20.2
961.512,25.4,25.4,20.3,20.2
963.516,25.5,25.4,20.3,20.3
