f[Hz] 	 GabsStart 	 GphiStart 	 GabsFit 	 GphiFit
800.0 	 0.002242888035338016 	 82.26605440687763 	 0.0028865142003488835 	 85.05907020994312
801.0 	 0.002252564796066817 	 82.23248143665012 	 0.0029020184030384717 	 85.03246470053382
802.0 	 0.0022623089276021372 	 82.1986720154922 	 0.0029176652279680154 	 85.00561335988488
803.0 	 0.0022721211467258496 	 82.16462358706316 	 0.0029334566767771197 	 84.97851271676986
804.0 	 0.002282002180234639 	 82.13033355852492 	 0.0029493947884660495 	 84.95115923465428
805.0 	 0.0022919527651129035 	 82.09579929989405 	 0.0029654816402670103 	 84.92354931015737
806.0 	 0.0023019736487091785 	 82.06101814338005 	 0.002981719348539761 	 84.89567927147029
807.0 	 0.002312065588916175 	 82.0259873827097 	 0.0029981100696923994 	 84.86754537672951
808.0 	 0.002322229354354509 	 81.99070427243677 	 0.0030146560011280947 	 84.83914381234356
809.0 	 0.0023324657245602375 	 81.95516602723731 	 0.0030313593822186846 	 84.810470691272
810.0 	 0.0023427754901762473 	 81.91936982118958 	 0.00304822249530595 	 84.78152205125451
811.0 	 0.0023531594531476267 	 81.88331278703842 	 0.0030652476667315455 	 84.75229385298891
812.0 	 0.002363618426921082 	 81.84699201544414 	 0.003082437267896496 	 84.72278197825607
813.0 	 0.0023741532366485327 	 81.81040455421466 	 0.0030997937163512934 	 84.69298222798996
814.0 	 0.0023847647193949487 	 81.77354740752116 	 0.0031173194769175748 	 84.6628903202911
815.0 	 0.0023954537243505466 	 81.73641753509683 	 0.0031350170628424777 	 84.63250188838133
816.0 	 0.002406221113047461 	 81.69901185141771 	 0.0031528890369867846 	 84.6018124784979
817.0 	 0.0024170677595809764 	 81.66132722486579 	 0.0031709380130479827 	 84.57081754772483
818.0 	 0.0024279945508354447 	 81.62336047687363 	 0.0031891666568194597 	 84.53951246175927
819.0 	 0.0024390023867149934 	 81.58510838105006 	 0.0032075776874870504 	 84.50789249261078
820.0 	 0.002450092180379157 	 81.54656766228646 	 0.003226173878964276 	 84.47595281623084
821.0 	 0.0024612648584835246 	 81.50773499584324 	 0.0032449580612675527 	 84.44368851007053
822.0 	 0.00247252136142555 	 81.46860700641575 	 0.0032639331219328103 	 84.41109455056342
823.0 	 0.0024838626435956333 	 81.42918026717952 	 0.0032831020074749516 	 84.3781658105314
824.0 	 0.0024952896736336245 	 81.38945129881377 	 0.00330246772489168 	 84.3448970565104
825.0 	 0.0025068034346908603 	 81.34941656850305 	 0.003322033343213248 	 84.31128294599311
826.0 	 0.002518404924697873 	 81.30907248891627 	 0.0033418019950997393 	 84.27731802458611
827.0 	 0.0025300951566379387 	 81.26841541716247 	 0.0033617768784876476 	 84.24299672307758
828.0 	 0.0025418751588265685 	 81.22744165372285 	 0.0033819612582874485 	 84.20831335441308
829.0 	 0.002553745975197127 	 81.18614744135823 	 0.003402358468134043 	 84.17326211057538
830.0 	 0.002565708665592697 	 81.14452896399176 	 0.003422971912191969 	 84.13783705936545
831.0 	 0.0025777643060643915 	 81.10258234556551 	 0.003443805067017415 	 84.1020321410801
832.0 	 0.002589913989176222 	 81.06030364887086 	 0.003464861483479055 	 84.06584116508331
833.0 	 0.002602158824316722 	 81.01768887435172 	 0.0034861447887398946 	 84.0292578062667
834.0 	 0.0026144999380174993 	 80.97473395887988 	 0.003507658688302412 	 83.99227560139495
835.0 	 0.002626938474278863 	 80.93143477450165 	 0.003529406968119292 	 83.95488794533229
836.0 	 0.0026394755949027313 	 80.8877871271554 	 0.003551393496772235 	 83.91708808714492
837.0 	 0.00265211247983299 	 80.84378675535861 	 0.00357362222772137 	 83.87886912607509
838.0 	 0.0026648503275035046 	 80.79942932886414 	 0.0035960972016279708 	 83.8402240073816
839.0 	 0.0026776903551939684 	 80.7547104472845 	 0.003618822548753209 	 83.80114551804166
840.0 	 0.0026906337993937886 	 80.70962563868363 	 0.0036418024914358473 	 83.76162628230892
841.0 	 0.002703681916174223 	 80.66417035813487 	 0.0036650413466519202 	 83.72165875712156
842.0 	 0.002716835981568984 	 80.61833998624445 	 0.0036885435286595305 	 83.68123522735496
843.0 	 0.0027300972919635123 	 80.57212982763961 	 0.0037123135517320585 	 83.64034780091279
844.0 	 0.0027434671644931464 	 80.52553510942009 	 0.0037363560329831875 	 83.59898840364986
845.0 	 0.002756946937450448 	 80.47855097957223 	 0.0037606756952874155 	 83.55714877412008
846.0 	 0.0027705379707018748 	 80.43117250534459 	 0.003785277370299694 	 83.51482045814274
847.0 	 0.0027842416461140774 	 80.38339467158374 	 0.0038101660015781727 	 83.47199480317951
848.0 	 0.0027980593679900593 	 80.33521237902967 	 0.0038353466478141126 	 83.42866295251443
849.0 	 0.00281199256351547 	 80.28662044256899 	 0.0038608244861732715 	 83.38481583922922
850.0 	 0.0028260426832152703 	 80.23761358944536 	 0.0038866048157531648 	 83.34044417996505
851.0 	 0.0028402112014210756 	 80.1881864574254 	 0.003912693061160934 	 83.29553846846218
852.0 	 0.0028544996167494253 	 80.13833359291925 	 0.003939094776216661 	 83.25008896886834
853.0 	 0.00286890945259131 	 80.0880494490542 	 0.003965815647787272 	 83.20408570880585
854.0 	 0.0028834422576132085 	 80.03732838370009 	 0.003992861499756341 	 83.15751847218779
855.0 	 0.002898099606269957 	 79.98616465744529 	 0.004020238297135376 	 83.11037679177225
856.0 	 0.002912883099329796 	 79.93455243152147 	 0.004047952150322516 	 83.06264994144371
857.0 	 0.002927794364411865 	 79.88248576567611 	 0.004076009319514648 	 83.01432692820975
