lambda,T
728.0000610,0.1441659
730.0000610,0.1345671
732.0000610,0.1246477
734.0000610,0.1174120
736.0000610,0.1102069
738.0000610,0.1040061
740.0000610,0.0980524
742.0000610,0.0921056
744.0000610,0.0872021
746.0000610,0.0825043
748.0000610,0.0776741
750.0000610,0.0739962
752.0000610,0.0716797
754.0000610,0.0668648
756.0000610,0.0644902
758.0000610,0.0620655
760.0000610,0.0585468
762.0000610,0.0561510
764.0000610,0.0549380
766.0000610,0.0525137
768.0000610,0.0501225
770.0000610,0.0489383
772.0000610,0.0465493
774.0000610,0.0454166
776.0000610,0.0429501
778.0000610,0.0417805
780.0000610,0.0393461
782.0000610,0.0393946
784.0000610,0.0382190
786.0000610,0.0370092
788.0000610,0.0357604
790.0000610,0.0345402
792.0000610,0.0333357
794.0000610,0.0320781
796.0000610,0.0321422
798.0000610,0.0309191
800.0000610,0.0296310
802.0000610,0.0296719
804.0000610,0.0284266
806.0000610,0.0284275
808.0000610,0.0271437
810.0000610,0.0258875
812.0000610,0.0259112
814.0000610,0.0246642
816.0000610,0.0243702
818.0000610,0.0235465
820.0000610,0.0233558
822.0000610,0.0226884
824.0000610,0.0217454
826.0000610,0.0208977
828.0000610,0.0211608
830.0000610,0.0199504
832.0000610,0.0198818
834.0000610,0.0194829
836.0000610,0.0195176
838.0000610,0.0184339
840.0000610,0.0183600
842.0000610,0.0176770
844.0000610,0.0178044
846.0000610,0.0177996
848.0000610,0.0176699
850.0000610,0.0173107
852.0000610,0.0168130
854.0000610,0.0172359
856.0000610,0.0164663
858.0000610,0.0156265
860.0000610,0.0169515
862.0000610,0.0171254
864.0000610,0.0161069
866.0000610,0.0161846
868.0000610,0.0162383
870.0000610,0.0162753
872.0000610,0.0162941
874.0000610,0.0162904
876.0000610,0.0151326
878.0000610,0.0150900
880.0000610,0.0150569
882.0000610,0.0150217
884.0000610,0.0138193
886.0000610,0.0149116
888.0000610,0.0137067
890.0000610,0.0136585
892.0000610,0.0135944
894.0000610,0.0124004
896.0000610,0.0134666
898.0000610,0.0134100
900.0000610,0.0133446
902.0000610,0.0121684
904.0000610,0.0121045
906.0000610,0.0120467
908.0000610,0.0119855
910.0000610,0.0119236
912.0000610,0.0107972
914.0000610,0.0118172
916.0000610,0.0106809
918.0000610,0.0106218
920.0000610,0.0116288
922.0000610,0.0105291
924.0000610,0.0115240
926.0000610,0.0114595
928.0000610,0.0114076
930.0000610,0.0103243
932.0000610,0.0102945
934.0000610,0.0102674
936.0000610,0.0102337
938.0000610,0.0101847
940.0000610,0.0101331
942.0000610,0.0100983
944.0000610,0.0090588
946.0000610,0.0100313
948.0000610,0.0100015
950.0000610,0.0099686
952.0000610,0.0099351
954.0000610,0.0089080
956.0000610,0.0098698
958.0000610,0.0098486
960.0000610,0.0088441
962.0000610,0.0097910
964.0000610,0.0097887
966.0000610,0.0097734
968.0000610,0.0097623
970.0000610,0.0097520
972.0000610,0.0097450
974.0000610,0.0097448
976.0000610,0.0097432
978.0000610,0.0087626
980.0000610,0.0087755
982.0000610,0.0097760
984.0000610,0.0088026
986.0000610,0.0088169
988.0000610,0.0098188
990.0000610,0.0088729
992.0000610,0.0088911
994.0000610,0.0099092
996.0000610,0.0099642
998.0000610,0.0090171
1000.0000610,0.0090654
1002.0000610,0.0101385
1004.0000610,0.0092029
1006.0000610,0.0092587
1008.0000610,0.0103690
1010.0000610,0.0104771
1012.0000610,0.0095304
1014.0000610,0.0096294
1016.0000610,0.0097433
1018.0000610,0.0098720
1020.0000610,0.0100092
1022.0000610,0.0101561
1024.0000000,0.0091670
1026.0000000,0.0093355
1028.0000000,0.0095089
1030.0000000,0.0097022
1032.0000000,0.0099126
1034.0000000,0.0101395
1036.0000000,0.0103887
1038.0000000,0.0093197
1040.0000000,0.0095705
1042.0000000,0.0112505
1044.0000000,0.0101519
1046.0000000,0.0104483
1048.0000000,0.0107827
1050.0000000,0.0111382
1052.0000000,0.0098890
1054.0000000,0.0102425
1056.0000000,0.0106319
1058.0000000,0.0091865
1060.0000000,0.0096130
1062.0000000,0.0100474
1064.0000000,0.0083960
1066.0000000,0.0087728
1068.0000000,0.0114143
1070.0000000,0.0094738
1072.0000000,0.0097872
1074.0000000,0.0101368
1076.0000000,0.0104924
1078.0000000,0.0108646
1080.0000000,0.0112607
1082.0000000,0.0116886
1084.0000000,0.0090506
1086.0000000,0.0125867
1088.0000000,0.0130772
1090.0000000,0.0135880
1092.0000000,0.0106372
1094.0000000,0.0110006
1096.0000000,0.0114524
1098.0000000,0.0119191
1100.0000000,0.0124050
