lambda,T
280.0000000,0.0098617
282.0000000,0.0075922
284.0000000,0.0128956
286.0000000,0.0158784
288.0000000,0.0135263
290.0000000,0.0194058
292.0000000,0.0252562
294.0000000,0.0227141
296.0000000,0.0288979
298.0000000,0.0762461
300.0000000,0.1936336
302.0000000,0.4097391
304.0000000,0.7188911
306.0000000,1.1423681
308.0000000,1.6493179
310.0000000,2.2067320
312.0000000,2.7544425
314.0000000,3.2871766
316.0000000,3.7874551
318.0000000,4.2851362
320.0000000,4.7006464
322.0000305,5.1023841
324.0000305,5.4526434
326.0000305,5.7337122
328.0000305,5.9343891
330.0000305,6.0699201
332.0000305,6.1375360
334.0000305,6.1274333
336.0000305,6.0392294
338.0000305,5.8768749
340.0000305,5.6614690
342.0000305,5.4067321
344.0000305,5.1143589
346.0000305,4.8238797
348.0000305,4.5378995
350.0000305,4.2700605
352.0000305,4.0096679
354.0000305,3.7639179
356.0000305,3.5250130
358.0000305,3.2967777
360.0000305,3.0858078
362.0000305,2.9044394
364.0000305,2.7400756
366.0000305,2.6019170
368.0000305,2.4786434
370.0000305,2.3936510
372.0000305,2.2891889
374.0000305,2.1803954
376.0000305,2.0916677
378.0000305,1.9935087
380.0000305,1.9084264
382.0000305,1.8245108
384.0000305,1.7476852
386.0000305,1.6809623
388.0000305,1.6314347
390.0000305,1.6006135
392.0000305,1.5891284
394.0000305,1.5955039
396.0000305,1.6246428
398.0000305,1.6769465
400.0000305,1.7536693
402.0000305,1.8542734
404.0000305,1.9872086
406.0000305,2.1530561
408.0000305,2.3577251
410.0000305,2.6088359
412.0000305,2.9182866
414.0000305,3.2966692
416.0000305,3.7343018
418.0000305,4.2437921
420.0000305,4.8270321
422.0000305,5.4887819
424.0000305,6.2525864
426.0000305,7.1136837
428.0000305,8.0743179
430.0000305,9.1443510
432.0000305,10.3117266
434.0000305,11.6091938
436.0000305,13.0080748
438.0000305,14.5238886
440.0000305,16.1784058
442.0000305,17.9349155
444.0000305,19.7750912
446.0000305,21.6756191
448.0000305,23.6356449
450.0000305,25.6368980
452.0000305,27.7149239
454.0000305,29.7688637
456.0000305,31.8629150
458.0000305,33.9661980
460.0000305,36.1296883
462.0000305,38.2648354
464.0000305,40.3987617
466.0000305,42.5062943
468.0000305,44.5565681
470.0000305,46.6777763
472.0000305,48.5671730
474.0000305,50.3109627
476.0000305,51.9981079
478.0000305,53.5851784
480.0000305,55.1007576
482.0000305,56.5209160
484.0000305,57.8941193
486.0000305,59.1667747
488.0000305,60.3231049
