lambda,T
744.0000610,91.0908051
746.0000610,91.1811752
748.0000610,91.1096420
750.0000610,91.1429596
752.0000610,91.1743774
754.0000610,91.1300888
756.0000610,91.1572266
758.0000610,91.1967926
760.0000610,91.1763611
762.0000610,91.1872406
764.0000610,91.1580353
766.0000610,91.1413345
768.0000610,91.1368332
770.0000610,91.1743851
772.0000610,91.1829605
774.0000610,91.1547089
776.0000610,91.1829605
778.0000610,91.1506119
780.0000610,91.1218414
782.0000610,91.1852493
784.0000610,91.2354813
786.0000610,91.2213440
788.0000610,91.2048721
790.0000610,91.1507187
792.0000610,91.1157837
794.0000610,91.1771240
796.0000610,91.2083435
798.0000610,91.2237396
800.0000610,91.1778183
802.0000610,91.1989441
804.0000610,91.2102509
806.0000610,91.2537308
808.0000610,91.2344818
810.0000610,91.2222748
812.0000610,91.2369537
814.0000610,91.3124924
816.0000610,91.3330307
818.0000610,91.2549973
820.0000610,91.2468338
822.0000610,91.2239685
824.0000610,91.2196579
826.0000610,91.2388458
828.0000610,91.2520218
830.0000610,91.2437515
832.0000610,91.2439423
834.0000610,91.2594147
836.0000610,91.2471161
838.0000610,91.2292175
840.0000610,91.2654343
842.0000610,91.2782669
844.0000610,91.2835846
846.0000610,91.2612152
848.0000610,91.3046188
850.0000610,91.3228989
852.0000610,91.3008270
854.0000610,91.3128357
856.0000610,91.2699661
858.0000610,91.2443619
860.0000610,91.3591537
862.0000610,91.3154831
864.0000610,91.3339005
866.0000610,91.3220901
868.0000610,91.2683487
870.0000610,91.2750168
872.0000610,91.3052826
874.0000610,91.2881165
876.0000610,91.3008881
878.0000610,91.2682495
880.0000610,91.2498093
882.0000610,91.2806320
884.0000610,91.2961807
886.0000610,91.2942886
888.0000610,91.3233185
890.0000610,91.3235016
892.0000610,91.2670898
894.0000610,91.3103943
896.0000610,91.3200989
898.0000610,91.2937775
900.0000610,91.3667526
902.0000610,91.3438339
904.0000610,91.3348923
906.0000610,91.3822327
908.0000610,91.3628922
910.0000610,91.3313751
912.0000610,91.3284302
914.0000610,91.3725433
916.0000610,91.3321381
918.0000610,91.3393478
920.0000610,91.3347092
922.0000610,91.3223572
924.0000610,91.3312912
926.0000610,91.3315735
928.0000610,91.3431931
930.0000610,91.2851181
932.0000610,91.2869644
934.0000610,91.3407745
936.0000610,91.3546600
938.0000610,91.3348923
940.0000610,91.3492813
942.0000610,91.3711395
944.0000610,91.3781433
946.0000610,91.3827896
948.0000610,91.4015732
950.0000610,91.3881073
952.0000610,91.4190445
954.0000610,91.4103699
956.0000610,91.3709717
958.0000610,91.3663788
960.0000610,91.4017410
962.0000610,91.4127655
964.0000610,91.3878174
966.0000610,91.3790894
968.0000610,91.3896866
970.0000610,91.3745041
972.0000610,91.3696899
974.0000610,91.4051437
976.0000610,91.3747787
978.0000610,91.3594055
980.0000610,91.3618469
982.0000610,91.4486542
984.0000610,91.4136200
986.0000610,91.4204865
988.0000610,91.4369049
990.0000610,91.4211578
992.0000610,91.3972931
994.0000610,91.3996201
996.0000610,91.4226685
998.0000610,91.4546432
1000.0000610,91.4499664
1002.0000610,91.4381409
1004.0000610,91.4683228
1006.0000610,91.4585571
1008.0000610,91.4658432
1010.0000610,91.4492950
1012.0000610,91.4251328
1014.0000610,91.4475098
1016.0000610,91.4225693
1018.0000610,91.4442291
1020.0000610,91.4592133
1022.0000610,91.4616928
1024.0000000,91.4938278
1026.0000000,91.4743576
1028.0000000,91.4745407
1030.0000000,91.4636612
1032.0000000,91.4829941
1034.0000000,91.5091476
1036.0000000,91.5293655
1038.0000000,91.5157089
1040.0000000,91.5228348
1042.0000000,91.5083923
1044.0000000,91.5196304
1046.0000000,91.4999924
1048.0000000,91.5548172
1050.0000000,91.5330734
1052.0000000,91.5232620
1054.0000000,91.5304260
1056.0000000,91.5312500
1058.0000000,91.5739059
1060.0000000,91.5506516
1062.0000000,91.5645828
1064.0000000,91.5575867
1066.0000000,91.5625534
1068.0000000,91.5520554
1070.0000000,91.5851898
1072.0000000,91.5952072
1074.0000000,91.5919113
1076.0000000,91.5828781
1078.0000000,91.5675888
1080.0000000,91.5867157
1082.0000000,91.6180878
1084.0000000,91.6063919
1086.0000000,91.6388168
1088.0000000,91.6358490
1090.0000000,91.6060791
1092.0000000,91.6205444
1094.0000000,91.6033859
1096.0000000,91.6306152
1098.0000000,91.6299210
1100.0000000,91.6222916
