lambda,T
280.0000000,-0.0049643
282.0000000,0.0025307
284.0000000,0.0025915
286.0000000,0.0026534
288.0000000,-0.0083011
290.0000000,-0.0110825
292.0000000,-0.0027375
294.0000000,-0.0085443
296.0000000,-0.0115592
298.0000000,-0.0146843
300.0000000,-0.0209006
302.0000000,-0.0123095
304.0000000,-0.0155453
306.0000000,-0.0127176
308.0000000,-0.0064883
310.0000000,-0.0169702
312.0000000,-0.0139077
314.0000000,-0.0107679
316.0000000,-0.0184519
318.0000000,-0.0227989
320.0000000,-0.0102361
322.0000305,-0.0022428
324.0000305,0.0082675
326.0000305,0.0036812
328.0000305,0.0016974
330.0000305,0.0062400
332.0000305,0.0085759
334.0000305,0.0013849
336.0000305,0.0012497
338.0000305,0.0011826
340.0000305,0.0068094
342.0000305,0.0031649
344.0000305,-0.0020598
346.0000305,0.0019699
348.0000305,0.0019319
350.0000305,0.0019046
352.0000305,0.0009483
354.0000305,0.0027572
356.0000305,0.0035020
358.0000305,0.0025049
360.0000305,0.0040741
362.0000305,0.0008251
364.0000305,0.0008418
366.0000305,0.0026509
368.0000305,0.0028549
370.0000305,0.0030026
372.0000305,0.0014010
374.0000305,0.0012947
376.0000305,0.0011988
378.0000305,0.0011115
380.0000305,-0.0020272
382.0000305,0.0010210
384.0000305,0.0009114
386.0000305,-0.0008724
388.0000305,-0.0040933
390.0000305,-0.0031212
392.0000305,-0.0007677
394.0000305,0.0013938
396.0000305,0.0006763
398.0000305,0.0026628
400.0000305,0.0038360
402.0000305,0.0061686
404.0000305,0.0036040
406.0000305,0.0046191
408.0000305,0.0056382
410.0000305,0.0032492
412.0000305,0.0053093
414.0000305,0.0030967
416.0000305,0.0050106
418.0000305,0.0048977
420.0000305,0.0047770
422.0000305,0.0046728
424.0000305,0.0036630
426.0000305,0.0036082
428.0000305,0.0061906
430.0000305,0.0095617
432.0000305,0.0129873
434.0000305,0.0196634
436.0000305,0.0295465
438.0000305,0.0466869
440.0000305,0.0691801
442.0000305,0.1027426
444.0000305,0.1491057
446.0000305,0.2156842
448.0000305,0.3036989
450.0000305,0.4203506
452.0000305,0.5707864
454.0000305,0.7615176
456.0000305,1.0010767
458.0000305,1.2953341
460.0000305,1.6565380
462.0000305,2.0870800
464.0000305,2.5917633
466.0000305,3.1784413
468.0000305,3.8465700
470.0000305,4.6252451
472.0000305,5.4184256
474.0000305,6.2437825
476.0000305,7.1248689
478.0000305,8.0439854
480.0000305,9.0030680
482.0000305,9.9843864
484.0000305,10.9899979
486.0000305,12.0057945
488.0000305,13.0024471
490.0000305,14.0054207
492.0000305,15.0257511
494.0000305,16.0231400
496.0000305,17.0210724
498.0000305,18.0368538
500.0000305,18.9697895
502.0000305,19.8872471
504.0000305,20.7349186
506.0000305,21.5557365
508.0000305,22.3429089
510.0000305,23.1140957
512.0000000,23.8291264
514.0000000,24.5197887
516.0000000,25.1591759
518.0000000,25.7402039
520.0000000,26.2788773
522.0000000,26.7910480
524.0000000,27.2405796
526.0000000,27.6482849
528.0000000,27.9860592
530.0000000,28.3032570
532.0000000,28.5482864
534.0000000,28.7283821
536.0000000,28.8660583
538.0000000,28.9808788
540.0000000,29.0299988
542.0000000,29.0215740
544.0000000,28.9507828
546.0000000,28.7993031
548.0000000,28.6056137
550.0000000,28.3580647
552.0000000,28.0395336
554.0000000,27.6765785
556.0000000,27.2678490
558.0000000,26.8093262
560.0000000,26.3228779
562.0000000,25.8064308
564.0000000,25.2402916
566.0000000,24.6188488
568.0000000,23.9586525
570.0000000,23.2439804
572.0000000,22.5107250
574.0000000,21.7276421
576.0000000,20.8811283
578.0000000,19.9578648
580.0000000,18.9732380
582.0000000,17.9516830
584.0000000,16.8932648
586.0000000,15.7979097
588.0000000,14.6673393
590.0000000,13.5094852
592.0000000,12.3444138
594.0000000,11.1982155
596.0000000,10.1051655
598.0000000,9.1059771
600.0000000,8.1803646
602.0000000,7.3572664
604.0000000,6.6232967
606.0000000,5.9986000
608.0000000,5.4822059
610.0000000,5.0752006
612.0000000,4.7547116
614.0000000,4.5018697
616.0000000,4.3084698
618.0000000,4.1634793
620.0000000,4.0592856
622.0000000,3.9828796
624.0000000,3.9332662
626.0000000,3.8945875
628.0000000,3.8669231
630.0000000,3.8502152
632.0000000,3.8323004
634.0000000,3.8196001
636.0000000,3.7997453
638.0000000,3.7791238
640.0000000,3.7624290
642.0000000,3.7449071
644.0000610,3.7408350
646.0000610,3.7520649
648.0000610,3.7848833
650.0000610,3.8459113
652.0000610,3.9386351
654.0000610,4.0716839
656.0000610,4.2374258
658.0000610,4.4497175
660.0000610,4.7133150
662.0000610,5.0212135
664.0000610,5.3659658
666.0000610,5.7348771
668.0000610,6.1310949
670.0000610,6.5491247
672.0000610,6.9838791
674.0000610,7.4208250
676.0000610,7.8480744
678.0000610,8.2783384
680.0000610,8.6829634
682.0000610,9.0812607
684.0000610,9.4478722
686.0000610,9.7957373
688.0000610,10.1108246
690.0000610,10.4015551
692.0000610,10.6575108
694.0000610,10.8878450
696.0000610,11.0946665
698.0000610,11.2928619
700.0000610,11.4632196
702.0000610,11.6395359
704.0000610,11.7946339
706.0000610,11.9309092
708.0000610,12.0169859
710.0000610,12.0655441
712.0000610,12.0660009
714.0000610,12.0264292
716.0000610,11.9537268
718.0000610,11.8692541
720.0000610,11.7863369
722.0000610,11.7283888
724.0000610,11.7134142
726.0000610,11.7479095
728.0000610,11.8444386
730.0000610,12.0185413
732.0000610,12.2649250
734.0000610,12.5760403
736.0000610,12.9576006
738.0000610,13.3871689
740.0000610,13.8732777
742.0000610,14.4032784
744.0000610,14.9768238
746.0000610,15.5806656
748.0000610,16.1573124
750.0000610,16.7240810
752.0000610,17.2942982
754.0000610,17.8144951
756.0000610,18.3259659
758.0000610,18.7989311
760.0000610,19.2312737
762.0000610,19.6245308
764.0000610,19.9428158
766.0000610,20.2457218
768.0000610,20.4891987
770.0000610,20.7393570
772.0000610,20.9169388
774.0000610,21.0952854
776.0000610,21.2676678
778.0000610,21.4004936
780.0000610,21.5420036
782.0000610,21.6911144
784.0000610,21.8751297
786.0000610,22.0695324
788.0000610,22.3156338
790.0000610,22.5757790
792.0000610,22.9037743
794.0000610,23.2634640
796.0000610,23.6622276
798.0000610,24.0881042
800.0000610,24.5282631
802.0000610,25.0106983
804.0000610,25.5089149
806.0000610,26.0176086
808.0000610,26.5091877
810.0000610,26.9957218
812.0000610,27.4792118
814.0000610,27.9467583
816.0000610,28.4336376
818.0000610,28.9484005
820.0000610,29.4172039
822.0000610,29.9057102
824.0000610,30.3270473
826.0000610,30.6953354
828.0000610,31.0750389
