lambda,T
744.0000610,71.0045242
746.0000610,71.6830673
748.0000610,72.1954346
750.0000610,72.9025497
752.0000610,73.5003586
754.0000610,74.1329575
756.0000610,74.7703934
758.0000610,75.5022583
760.0000610,76.1828690
762.0000610,76.8727112
764.0000610,77.5279999
766.0000610,78.1665344
768.0000610,78.8380051
770.0000610,79.5394363
772.0000610,80.1959076
774.0000610,80.8581924
776.0000610,81.5799561
778.0000610,82.2227783
780.0000610,82.8358765
782.0000610,83.4774017
784.0000610,84.0968552
786.0000610,84.6305389
788.0000610,85.1466370
790.0000610,85.5789719
792.0000610,86.0772858
794.0000610,86.5329132
796.0000610,86.9568787
798.0000610,87.3631744
800.0000610,87.7300186
802.0000610,88.0270081
804.0000610,88.2983780
806.0000610,88.5534515
808.0000610,88.7549057
810.0000610,88.8918076
812.0000610,89.0301285
814.0000610,89.1372910
816.0000610,89.1559067
818.0000610,89.1295013
820.0000610,89.0810165
822.0000610,88.9876251
824.0000610,88.8735046
826.0000610,88.7254944
828.0000610,88.5550003
830.0000610,88.3346939
832.0000610,88.0955963
834.0000610,87.8394852
836.0000610,87.5242767
838.0000610,87.1908722
840.0000610,86.8767853
842.0000610,86.4845581
844.0000610,86.0672455
846.0000610,85.6353683
848.0000610,85.2269745
850.0000610,84.7766876
852.0000610,84.3337860
854.0000610,83.8584061
856.0000610,83.3656845
858.0000610,82.8443832
860.0000610,82.3731995
862.0000610,81.8111420
864.0000610,81.3170013
866.0000610,80.7815857
868.0000610,80.2048950
870.0000610,79.7032166
872.0000610,79.2405853
874.0000610,78.7099838
876.0000610,78.2182159
878.0000610,77.6935730
880.0000610,77.2147522
882.0000610,76.7576599
884.0000610,76.2667618
886.0000610,75.7761383
888.0000610,75.2897568
890.0000610,74.8387070
892.0000610,74.3622284
894.0000610,73.9572754
896.0000610,73.5458221
898.0000610,73.0903854
900.0000610,72.6932907
902.0000610,72.2648697
904.0000610,71.8811264
906.0000610,71.5559387
908.0000610,71.1474686
910.0000610,70.7979965
912.0000610,70.4583435
914.0000610,70.1547394
916.0000610,69.8164673
918.0000610,69.5169907
920.0000610,69.2124023
922.0000610,68.9517059
924.0000610,68.6671143
926.0000610,68.4346848
928.0000610,68.1771240
930.0000610,67.9185867
932.0000610,67.6818237
934.0000610,67.5103073
936.0000610,67.3536301
938.0000610,67.1618576
940.0000610,66.9772720
942.0000610,66.8282776
944.0000610,66.6838303
946.0000610,66.5426178
948.0000610,66.4437637
950.0000610,66.3109741
952.0000610,66.2087097
954.0000610,66.1135483
956.0000610,66.0285797
958.0000610,65.9512634
960.0000610,65.8725433
962.0000610,65.8492203
964.0000610,65.8158798
966.0000610,65.8005829
968.0000610,65.7905502
970.0000610,65.7873840
972.0000610,65.7879944
974.0000610,65.8036270
976.0000610,65.8188019
978.0000610,65.8415527
980.0000610,65.8888245
982.0000610,65.9533463
984.0000610,66.0263519
986.0000610,66.1100235
988.0000610,66.1805573
990.0000610,66.2596893
992.0000610,66.3581467
994.0000610,66.4507065
996.0000610,66.5909424
998.0000610,66.6970291
1000.0000610,66.8573151
1002.0000610,66.9834442
1004.0000610,67.1389694
1006.0000610,67.2857666
1008.0000610,67.4840851
1010.0000610,67.6623001
1012.0000610,67.8349228
1014.0000610,68.0077972
1016.0000610,68.1702347
1018.0000610,68.4010696
1020.0000610,68.6242294
1022.0000610,68.8284836
1024.0000000,69.0791779
1026.0000000,69.3213043
1028.0000000,69.5165100
1030.0000000,69.7454758
1032.0000000,70.0250702
1034.0000000,70.3026657
1036.0000000,70.5996246
1038.0000000,70.8536148
1040.0000000,71.1064072
1042.0000000,71.3863144
1044.0000000,71.6878128
1046.0000000,71.9660492
1048.0000000,72.2706451
1050.0000000,72.5433426
1052.0000000,72.8338165
1054.0000000,73.1347961
1056.0000000,73.4343719
1058.0000000,73.7916565
1060.0000000,74.0968170
1062.0000000,74.4497986
1064.0000000,74.7686005
1066.0000000,75.0356369
1068.0000000,75.3031693
1070.0000000,75.6091385
1072.0000000,75.9354324
1074.0000000,76.2686844
1076.0000000,76.5349045
1078.0000000,76.8469620
1080.0000000,77.1694946
1082.0000000,77.5158386
1084.0000000,77.8549423
1086.0000000,78.1931458
1088.0000000,78.5268936
1090.0000000,78.8131638
1092.0000000,79.1244965
1094.0000000,79.4748688
1096.0000000,79.8078995
1098.0000000,80.1345978
1100.0000000,80.4312515
