lambda,T
280.0000000,0.0025290
282.0000000,-0.0101230
284.0000000,-0.0026846
286.0000000,-0.0104925
288.0000000,-0.0136082
290.0000000,0.0029505
292.0000000,-0.0028456
294.0000000,0.0028629
296.0000000,0.0028897
298.0000000,0.0029389
300.0000000,0.0029920
302.0000000,0.0030525
304.0000000,0.0092625
306.0000000,0.0192985
308.0000000,0.0362805
310.0000000,0.0575892
312.0000000,0.0801152
314.0000000,0.1148292
316.0000000,0.1330200
318.0000000,0.1784934
320.0000000,0.2251172
322.0000305,0.2579227
324.0000305,0.2909204
326.0000305,0.3054962
328.0000305,0.3296591
330.0000305,0.3367844
332.0000305,0.3419231
334.0000305,0.3359565
336.0000305,0.3320339
338.0000305,0.3087480
340.0000305,0.2927109
342.0000305,0.2629907
344.0000305,0.2300235
346.0000305,0.2138040
348.0000305,0.1846136
350.0000305,0.1601904
352.0000305,0.1386658
354.0000305,0.1215936
356.0000305,0.1090350
358.0000305,0.1012411
360.0000305,0.0903679
362.0000305,0.0864033
364.0000305,0.0733509
366.0000305,0.0704559
368.0000305,0.0674323
370.0000305,0.0558078
372.0000305,0.0476331
374.0000305,0.0440194
376.0000305,0.0395643
378.0000305,0.0399842
380.0000305,0.0342091
382.0000305,0.0300395
384.0000305,0.0291938
386.0000305,0.0267007
388.0000305,0.0253629
390.0000305,0.0241606
392.0000305,0.0253058
394.0000305,0.0270777
396.0000305,0.0253760
398.0000305,0.0257958
400.0000305,0.0331867
402.0000305,0.0357777
404.0000305,0.0394023
406.0000305,0.0450914
408.0000305,0.0529719
410.0000305,0.0645118
412.0000305,0.0795636
414.0000305,0.1000478
416.0000305,0.1274073
418.0000305,0.1660034
420.0000305,0.2110305
422.0000305,0.2755301
424.0000305,0.3580659
426.0000305,0.4635664
428.0000305,0.5959523
430.0000305,0.7653185
432.0000305,0.9732537
434.0000305,1.2337403
436.0000305,1.5499020
438.0000305,1.9339160
440.0000305,2.4015119
442.0000305,2.9518437
444.0000305,3.5886993
446.0000305,4.3167210
448.0000305,5.1384425
450.0000305,6.0508118
452.0000305,7.0706367
454.0000305,8.1667604
456.0000305,9.3653994
458.0000305,10.6586103
