U_D I_D U_G
0.0 -0.0138635271 3.3
0.1 2.51795365 3.3
0.2 2.888971 3.3
0.30000000000000004 3.0535467699999996 3.3
0.4 3.0566680699999997 3.3
0.5 3.1078381299999998 3.3
0.6 3.10456547 3.3
0.7 3.12315337 3.3
0.7999999999999999 3.11200981 3.3
0.8999999999999999 3.12857265 3.3
0.9999999999999999 3.11874548 3.3
1.0999999999999999 3.13472351 3.3
1.2 3.11050534 3.3
1.3 3.13683343 3.3
1.4000000000000001 3.12195164 3.3
1.5000000000000002 3.1365765700000003 3.3
1.6000000000000003 3.13203566 3.3
1.7000000000000004 3.14322052 3.3
1.8000000000000005 3.14667894 3.3
1.9000000000000006 3.13749393 3.3
2.0000000000000004 3.1492911099999996 3.3
2.1000000000000005 3.12290569 3.3
2.2000000000000006 3.15788902 3.3
2.3000000000000007 3.1290565499999996 3.3
2.400000000000001 3.16079474 3.3
2.500000000000001 3.14689682 3.3
2.600000000000001 3.1623359 3.3
2.700000000000001 3.15017177 3.3
2.800000000000001 3.18350616 3.3
2.9000000000000012 3.15467369 3.3
3.0000000000000013 3.2015963999999997 3.3
3.1000000000000014 3.1599416000000002 3.3
3.2000000000000015 3.1825911 3.3
3.3000000000000016 3.16015947 3.3
3.4000000000000017 3.17293135 3.3
3.5000000000000018 3.16579891 3.3
3.600000000000002 3.1601801199999997 3.3
3.700000000000002 3.1746903800000004 3.3
3.800000000000002 3.1669547799999997 3.3
3.900000000000002 3.20430948 3.3
4.000000000000002 3.15768262 3.3
4.100000000000001 3.20158493 3.3
4.200000000000001 3.15362103 3.3
4.300000000000001 3.160187 3.3
4.4 3.14337647 3.3
4.5 3.17463534 3.3
4.6 3.1393194600000003 3.3
4.699999999999999 3.1661199900000003 3.3
4.799999999999999 3.13353095 3.3
4.899999999999999 3.16092547 3.3
4.999999999999998 3.15545803 3.3
5.099999999999998 3.16379449 3.3
5.1999999999999975 3.16684699 3.3
5.299999999999997 3.16110664 3.3
5.399999999999997 3.16272348 3.3
5.4999999999999964 3.15153175 3.3
5.599999999999996 3.16798451 3.3
5.699999999999996 3.14324574 3.3
5.799999999999995 3.16653739 3.3
5.899999999999995 3.14884619 3.3
5.999999999999995 3.1741216199999998 3.3
6.099999999999994 3.17226856 3.3
6.199999999999994 3.18610915 3.3
6.299999999999994 3.16931926 3.3
6.399999999999993 3.20209636 3.3
6.499999999999993 3.1706609 3.3
6.5999999999999925 3.20710053 3.3
6.699999999999992 3.17225939 3.3
6.799999999999992 3.19301684 3.3
6.8999999999999915 3.1759196299999997 3.3
6.999999999999991 3.1769722999999996 3.3
7.099999999999991 3.18708155 3.3
7.19999999999999 3.17932531 3.3
7.29999999999999 3.19823659 3.3
7.39999999999999 3.17182364 3.3
7.499999999999989 3.21629472 3.3
7.599999999999989 3.17441746 3.3
7.699999999999989 3.1972251999999997 3.3
7.799999999999988 3.17819009 3.3
7.899999999999988 3.1749059600000002 3.3
7.999999999999988 3.16410639 3.3
8.099999999999987 3.17501375 3.3
8.199999999999987 3.15038735 3.3
8.299999999999986 3.17506191 3.3
8.399999999999986 3.16410639 3.3
8.499999999999986 3.1690991 3.3
8.599999999999985 3.17718788 3.3
8.699999999999985 3.16896838 3.3
8.799999999999985 3.16990408 3.3
8.899999999999984 3.17075492 3.3
8.999999999999984 3.17806854 3.3
9.099999999999984 3.15192163 3.3
9.199999999999983 3.18855849 3.3
9.299999999999983 3.1668378199999996 3.3
9.399999999999983 3.1876227900000003 3.3
9.499999999999982 3.1688628800000003 3.3
9.599999999999982 3.19521849 3.3
9.699999999999982 3.18504044 3.3
9.799999999999981 3.21284317 3.3
9.89999999999998 3.1761099799999997 3.3
9.99999999999998 3.22497978 3.3
10.09999999999998 3.17930697 3.3
10.19999999999998 3.21715703 3.3
10.29999999999998 3.18259798 3.3
10.399999999999979 3.1900813 3.3
10.499999999999979 3.1992021 3.3
10.599999999999978 3.19113397 3.3
10.699999999999978 3.21343945 3.3
10.799999999999978 3.18597614 3.3
10.899999999999977 3.2264383700000003 3.3
10.999999999999977 3.18450149 3.3
11.099999999999977 3.22337211 3.3
11.199999999999976 3.1827218200000003 3.3
11.299999999999976 3.19316591 3.3
11.399999999999975 3.18724438 3.3
11.499999999999975 3.1941497699999997 3.3
11.599999999999975 3.17377302 3.3
11.699999999999974 3.18367816 3.3
11.799999999999974 3.16310418 3.3
11.899999999999974 3.18370568 3.3
11.999999999999973 3.1668217700000003 3.3
12.099999999999973 3.1856527700000004 3.3
12.199999999999973 3.18593715 3.3
12.299999999999972 3.19474605 3.3
12.399999999999972 3.1916797900000002 3.3
12.499999999999972 3.1851069400000003 3.3
12.599999999999971 3.19275998 3.3
12.69999999999997 3.1629803400000003 3.3
12.79999999999997 3.19269347 3.3
12.89999999999997 3.1669249699999997 3.3
12.99999999999997 3.19404427 3.3
13.09999999999997 3.18276998 3.3
13.199999999999969 3.2007616100000003 3.3
13.299999999999969 3.19260861 3.3
13.399999999999968 3.21544387 3.3
13.499999999999968 3.1893542999999998 3.3
13.599999999999968 3.23896027 3.3
13.699999999999967 3.19338378 3.3
13.799999999999967 3.23932262 3.3
13.899999999999967 3.2049516299999996 3.3
13.999999999999966 3.21284317 3.3
14.099999999999966 3.20882974 3.3
14.199999999999966 3.20202985 3.3
14.299999999999965 3.21618234 3.3
14.399999999999965 3.19922045 3.3
14.499999999999964 3.2282822600000003 3.3
14.599999999999964 3.19494558 3.3
14.699999999999964 3.2367953099999998 3.3
14.799999999999963 3.2056167099999997 3.3
14.899999999999963 3.22888771 3.3
14.999999999999963 3.20528646 3.3
15.099999999999962 3.21288904 3.3
15.199999999999962 3.1958721 3.3
15.299999999999962 3.20416729 3.3
15.399999999999961 3.18157742 3.3
15.499999999999961 3.20313756 3.3
15.59999999999996 3.1724589099999996 3.3
15.69999999999996 3.20189683 3.3
15.79999999999996 3.19253293 3.3
15.89999999999996 3.19518179 3.3
15.99999999999996 3.2076394799999997 3.3
16.09999999999996 3.20619235 3.3
16.19999999999996 3.20743995 3.3
16.29999999999996 3.19304206 3.3
16.399999999999963 3.2124555900000002 3.3
16.499999999999964 3.17970372 3.3
16.599999999999966 3.2116987700000004 3.3
16.699999999999967 3.19096196 3.3
16.79999999999997 3.21568239 3.3
16.89999999999997 3.21166896 3.3
16.99999999999997 3.21748728 3.3
17.099999999999973 3.20899257 3.3
17.199999999999974 3.22497978 3.3
17.299999999999976 3.21211617 3.3
17.399999999999977 3.25279398 3.3
17.49999999999998 3.2137398900000003 3.3
17.59999999999998 3.23706134 3.3
17.69999999999998 3.2162488500000004 3.3
17.799999999999983 3.23207552 3.3
17.899999999999984 3.22156492 3.3
17.999999999999986 3.21861563 3.3
18.099999999999987 3.2302958499999996 3.3
18.19999999999999 3.2134578 3.3
18.29999999999999 3.25779815 3.3
18.39999999999999 3.21536819 3.3
18.499999999999993 3.23998312 3.3
18.599999999999994 3.21280418 3.3
18.699999999999996 3.2328782 3.3
18.799999999999997 3.21734509 3.3
18.9 3.22275519 3.3
19.0 3.2112905499999997 3.3
19.1 3.22390189 3.3
19.200000000000003 3.19870902 3.3
19.300000000000004 3.22242724 3.3
19.400000000000006 3.1856092 3.3
19.500000000000007 3.2158979600000004 3.3
19.60000000000001 3.21246476 3.3
19.70000000000001 3.20776332 3.3
19.80000000000001 3.22154658 3.3
19.900000000000013 3.21103598 3.3
