U_D I_D U_G
0.0 -0.006325162570000001 3.4
0.1 4.8586743299999995 3.4
0.2 5.88691919 3.4
0.30000000000000004 6.1856833600000005 3.4
0.4 6.30535232 3.4
0.5 6.38605433 3.4
0.6 6.39899362 3.4
0.7 6.44149926 3.4
0.7999999999999999 6.4590941299999995 3.4
0.8999999999999999 6.47350349 3.4
0.9999999999999999 6.45648426 3.4
1.0999999999999999 6.4906717800000004 3.4
1.2 6.456323719999999 3.4
1.3 6.491061660000001 3.4
1.4000000000000001 6.48161061 3.4
1.5000000000000002 6.5064525799999995 3.4
1.6000000000000003 6.5137845400000005 3.4
1.7000000000000004 6.5004439099999995 3.4
1.8000000000000005 6.505629259999999 3.4
1.9000000000000006 6.50684934 3.4
2.0000000000000004 6.51356438 3.4
2.1000000000000005 6.5005494 3.4
2.2000000000000006 6.50911979 3.4
2.3000000000000007 6.49546726 3.4
2.400000000000001 6.52717793 3.4
2.500000000000001 6.50803961 3.4
2.600000000000001 6.52986348 3.4
2.700000000000001 6.52931536 3.4
2.800000000000001 6.54551356 3.4
2.9000000000000012 6.52612755 3.4
3.0000000000000013 6.55589802 3.4
3.1000000000000014 6.5261092099999995 3.4
3.2000000000000015 6.56765621 3.4
3.3000000000000016 6.52194671 3.4
3.4000000000000017 6.57563032 3.4
3.5000000000000018 6.536961519999999 3.4
3.600000000000002 6.57644677 3.4
3.700000000000002 6.54165149 3.4
3.800000000000002 6.5626887400000005 3.4
3.900000000000002 6.54362839 3.4
4.000000000000002 6.55741165 3.4
4.100000000000001 6.54624974 3.4
4.200000000000001 6.5561273600000005 3.4
4.300000000000001 6.560932 3.4
4.4 6.55605855 3.4
4.5 6.57932268 3.4
4.6 6.559693569999999 3.4
4.699999999999999 6.586984879999999 3.4
4.799999999999999 6.56393863 3.4
4.899999999999999 6.587675190000001 3.4
4.999999999999998 6.55923719 3.4
5.099999999999998 6.57557528 3.4
5.1999999999999975 6.55907665 3.4
5.299999999999997 6.56712644 3.4
5.399999999999997 6.56282405 3.4
5.4999999999999964 6.56579398 3.4
5.599999999999996 6.55397845 3.4
5.699999999999996 6.5649798299999995 3.4
5.799999999999995 6.5403649 3.4
5.899999999999995 6.565927 3.4
5.999999999999995 6.53773439 3.4
6.099999999999994 6.56492479 3.4
6.199999999999994 6.55193504 3.4
6.299999999999994 6.57717377 3.4
6.399999999999993 6.56422301 3.4
6.499999999999993 6.57658896 3.4
6.5999999999999925 6.5651151400000005 3.4
6.699999999999992 6.57432538 3.4
6.799999999999992 6.562794230000001 3.4
6.8999999999999915 6.57509138 3.4
6.999999999999991 6.56969962 3.4
7.099999999999991 6.54273168 3.4
7.19999999999999 6.57346766 3.4
7.29999999999999 6.55059112 3.4
7.39999999999999 6.5686148499999994 3.4
7.499999999999989 6.5512906 3.4
7.599999999999989 6.57635962 3.4
7.699999999999989 6.57212144 3.4
7.799999999999988 6.58156561 3.4
7.899999999999988 6.57868741 3.4
7.999999999999988 6.58648493 3.4
8.099999999999987 6.58094181 3.4
8.199999999999987 6.5951654 3.4
8.299999999999986 6.57919883 3.4
8.399999999999986 6.6020318 3.4
8.499999999999986 6.58478094 3.4
8.599999999999985 6.620537140000001 3.4
8.699999999999985 6.584448399999999 3.4
8.799999999999985 6.62613759 3.4
8.899999999999984 6.59770188 3.4
8.999999999999984 6.6166682 3.4
9.099999999999984 6.58379478 3.4
9.199999999999983 6.60816432 3.4
9.299999999999983 6.60141029 3.4
9.399999999999983 6.61056779 3.4
9.499999999999982 6.60682957 3.4
9.599999999999982 6.6051645699999995 3.4
9.699999999999982 6.61757638 3.4
9.799999999999981 6.6050155 3.4
9.89999999999998 6.63439608 3.4
9.99999999999998 6.60701992 3.4
10.09999999999998 6.63997819 3.4
10.19999999999998 6.604703600000001 3.4
10.29999999999998 6.63205224 3.4
10.399999999999979 6.60882711 3.4
10.499999999999979 6.62723613 3.4
10.599999999999978 6.614361049999999 3.4
10.699999999999978 6.6106228300000005 3.4
10.799999999999978 6.60821936 3.4
10.899999999999977 6.6110127 3.4
10.999999999999977 6.60474258 3.4
11.099999999999977 6.61043706 3.4
11.199999999999976 6.58794811 3.4
11.299999999999976 6.61407667 3.4
11.399999999999975 6.5928399 3.4
11.499999999999975 6.62078253 3.4
11.599999999999975 6.58968879 3.4
11.699999999999974 6.61430372 3.4
11.799999999999974 6.60425868 3.4
11.899999999999974 6.61988582 3.4
11.999999999999973 6.606735540000001 3.4
12.099999999999973 6.62558947 3.4
12.199999999999973 6.6212756100000005 3.4
12.299999999999972 6.61473717 3.4
12.399999999999972 6.61296208 3.4
12.499999999999972 6.59514934 3.4
12.599999999999971 6.6221562700000005 3.4
12.69999999999997 6.5949016600000006 3.4
12.79999999999997 6.61773692 3.4
12.89999999999997 6.60731347 3.4
12.99999999999997 6.6154595800000005 3.4
13.09999999999997 6.6062631 3.4
13.199999999999969 6.62946759 3.4
13.299999999999969 6.61372578 3.4
13.399999999999968 6.62779342 3.4
