U_G I_D U_D
0.0 -0.00010181179099999999 10.0
0.02 0.000105007459 10.0
0.04 5.2583275500000005e-05 10.0
0.06 -6.9239488e-05 10.0
0.08 8.7020871e-05 10.0
0.1 -3.6581875299999996e-05 10.0
0.12000000000000001 9.05324175e-05 10.0
0.14 -3.76055961e-05 10.0
0.16 0.00010430192199999999 10.0
0.18 -3.50486e-05 10.0
0.19999999999999998 0.000104179721 10.0
0.21999999999999997 4.09718848e-06 10.0
0.23999999999999996 9.749095139999999e-05 10.0
0.25999999999999995 2.2242868499999997e-05 10.0
0.27999999999999997 9.45996322e-05 10.0
0.3 5.57904726e-05 10.0
0.32 9.025573619999999e-05 10.0
0.34 7.719638020000001e-05 10.0
0.36000000000000004 8.860948259999999e-05 10.0
0.38000000000000006 7.78143017e-05 10.0
0.4000000000000001 7.27464231e-05 10.0
0.4200000000000001 0.000101239983 10.0
0.4400000000000001 5.34110136e-05 10.0
0.46000000000000013 0.000109856299 10.0
0.48000000000000015 3.70706789e-05 10.0
0.5000000000000001 0.000100306183 10.0
0.5200000000000001 -7.495756760000001e-06 10.0
0.5400000000000001 8.96954566e-05 10.0
0.5600000000000002 -6.58409197e-05 10.0
0.5800000000000002 8.254324580000001e-05 10.0
0.6000000000000002 -6.39110679e-05 10.0
0.6200000000000002 8.61746875e-05 10.0
0.6400000000000002 -0.000109106953 10.0
0.6600000000000003 7.025398600000001e-05 10.0
0.6800000000000003 -0.00012129937499999998 10.0
0.7000000000000003 4.08450726e-05 10.0
0.7200000000000003 -0.000116010151 10.0
0.7400000000000003 2.02161782e-05 10.0
0.7600000000000003 -9.93862181e-05 10.0
0.7800000000000004 -2.11338377e-05 10.0
0.8000000000000004 -8.146880020000001e-05 10.0
0.8200000000000004 -3.4723499499999996e-05 10.0
0.8400000000000004 -8.664273990000001e-05 10.0
0.8600000000000004 -6.52345266e-05 10.0
0.8800000000000004 -7.42773928e-05 10.0
0.9000000000000005 -0.000107310831 10.0
