t,u_1,u_2
+67.92500E-03,+2.92680449E+00,+2.88119393E+00
+67.95000E-03,+2.92694017E+00,+2.88182910E+00
+67.97500E-03,+2.92629796E+00,+2.88184517E+00
+68.00000E-03,+2.92683163E+00,+2.88150749E+00
+68.02500E-03,+2.92591806E+00,+2.88223111E+00
+68.05000E-03,+2.92641554E+00,+2.88221503E+00
+68.07500E-03,+2.92659645E+00,+2.88223111E+00
+68.10000E-03,+2.92621655E+00,+2.88227130E+00
+68.12500E-03,+2.92538440E+00,+2.88223110E+00
+68.15000E-03,+2.92663264E+00,+2.88176478E+00
+68.17500E-03,+2.92627986E+00,+2.88222306E+00
+68.20000E-03,+2.92618037E+00,+2.88203010E+00
+68.22500E-03,+2.92653314E+00,+2.88243211E+00
+68.25000E-03,+2.92642459E+00,+2.88231151E+00
+68.27500E-03,+2.92647885E+00,+2.88244015E+00
+68.30000E-03,+2.92608991E+00,+2.88218287E+00
+68.32500E-03,+2.92638841E+00,+2.88252056E+00
+68.35000E-03,+2.92626177E+00,+2.88239192E+00
+68.37500E-03,+2.92579143E+00,+2.88243211E+00
+68.40000E-03,+2.92618036E+00,+2.88252860E+00
+68.42500E-03,+2.92606278E+00,+2.88286629E+00
+68.45000E-03,+2.92630700E+00,+2.88288235E+00
+68.47500E-03,+2.92674117E+00,+2.88399191E+00
+68.50000E-03,+2.92683164E+00,+2.88355774E+00
+68.52500E-03,+2.92676830E+00,+2.88346125E+00
+68.55000E-03,+2.92628891E+00,+2.88334870E+00
+68.57500E-03,+2.92626177E+00,+2.88335675E+00
+68.60000E-03,+2.92738340E+00,+2.88385522E+00
+68.62500E-03,+2.92628891E+00,+2.88448237E+00
+68.65000E-03,+2.92672309E+00,+2.88389543E+00
+68.67500E-03,+2.92615325E+00,+2.88403212E+00
+68.70000E-03,+2.92658741E+00,+2.88391150E+00
+68.72500E-03,+2.92670499E+00,+2.88397582E+00
+68.75000E-03,+2.92651505E+00,+2.88444214E+00
+68.77500E-03,+2.92613514E+00,+2.88404015E+00
+68.80000E-03,+2.92674117E+00,+2.88404015E+00
+68.82500E-03,+2.92594519E+00,+2.88433764E+00
+68.85000E-03,+2.92672307E+00,+2.88445825E+00
+68.87500E-03,+2.92678639E+00,+2.88520598E+00
+68.90000E-03,+2.92652409E+00,+2.88423311E+00
+68.92500E-03,+2.92696730E+00,+2.88499694E+00
+68.95000E-03,+2.92657836E+00,+2.88536680E+00
+68.97500E-03,+2.92628891E+00,+2.88513362E+00
+69.00000E-03,+2.92683163E+00,+2.88564819E+00
+69.02500E-03,+2.92708489E+00,+2.88530245E+00
+69.05000E-03,+2.92694921E+00,+2.88507734E+00
+69.07500E-03,+2.92693113E+00,+2.88486025E+00
+69.10000E-03,+2.92679544E+00,+2.88529442E+00
+69.12500E-03,+2.92651504E+00,+2.88544719E+00
+69.15000E-03,+2.92674117E+00,+2.88537484E+00
+69.17500E-03,+2.92661453E+00,+2.88539090E+00
+69.20000E-03,+2.92656932E+00,+2.88556780E+00
+69.22500E-03,+2.92694922E+00,+2.88566427E+00
+69.25000E-03,+2.92701253E+00,+2.88588939E+00
+69.27500E-03,+2.92688590E+00,+2.88616277E+00
+69.30000E-03,+2.92696730E+00,+2.88593765E+00
+69.32500E-03,+2.92650601E+00,+2.88599391E+00
+69.35000E-03,+2.92693112E+00,+2.88577684E+00
+69.37500E-03,+2.92696730E+00,+2.88605020E+00
+69.40000E-03,+2.92628891E+00,+2.88558387E+00
+69.42500E-03,+2.92658740E+00,+2.88590547E+00
+69.45000E-03,+2.92651504E+00,+2.88655674E+00
+69.47500E-03,+2.92645173E+00,+2.88566428E+00
+69.50000E-03,+2.92660550E+00,+2.88625119E+00
+69.52500E-03,+2.92716629E+00,+2.88626729E+00
+69.55000E-03,+2.92628891E+00,+2.88576878E+00
+69.57500E-03,+2.92631604E+00,+2.88657283E+00
+69.60000E-03,+2.92628891E+00,+2.88674166E+00
+69.62500E-03,+2.92637937E+00,+2.88669343E+00
+69.65000E-03,+2.92674117E+00,+2.88690246E+00
+69.67500E-03,+2.92721153E+00,+2.88702306E+00
+69.70000E-03,+2.92634317E+00,+2.88707130E+00
+69.72500E-03,+2.92656931E+00,+2.88730447E+00
+69.75000E-03,+2.92678641E+00,+2.88669341E+00
+69.77500E-03,+2.92651504E+00,+2.88721602E+00
+69.80000E-03,+2.92664168E+00,+2.88665322E+00
+69.82500E-03,+2.92719343E+00,+2.88793963E+00
+69.85000E-03,+2.92654217E+00,+2.88782710E+00
+69.87500E-03,+2.92710299E+00,+2.88810045E+00
+69.90000E-03,+2.92696730E+00,+2.88751352E+00
+69.92500E-03,+2.92707585E+00,+2.88738485E+00
+69.95000E-03,+2.92703967E+00,+2.88731252E+00
+69.97500E-03,+2.92663262E+00,+2.88735272E+00
+70.00000E-03,+2.92651504E+00,+2.88765823E+00
+70.02500E-03,+2.92670500E+00,+2.88789140E+00
+70.05000E-03,+2.92644268E+00,+2.88732055E+00
+70.07500E-03,+2.92684066E+00,+2.88836578E+00
+70.10000E-03,+2.92628891E+00,+2.88778688E+00
+70.12500E-03,+2.92687684E+00,+2.88810046E+00
+70.15000E-03,+2.92670498E+00,+2.88785120E+00
+70.17500E-03,+2.92656931E+00,+2.88773059E+00
+70.20000E-03,+2.92677736E+00,+2.88817281E+00
+70.22500E-03,+2.92671403E+00,+2.88806025E+00
+70.25000E-03,+2.92710298E+00,+2.88870346E+00
+70.27500E-03,+2.92696730E+00,+2.88775473E+00
+70.30000E-03,+2.92647885E+00,+2.88787533E+00
+70.32500E-03,+2.92736530E+00,+2.88876781E+00
+70.35000E-03,+2.92656931E+00,+2.88800396E+00
+70.37500E-03,+2.92674117E+00,+2.88793964E+00
+70.40000E-03,+2.92674117E+00,+2.88863915E+00
+70.42500E-03,+2.92680449E+00,+2.88857483E+00
+70.45000E-03,+2.92711202E+00,+2.88768236E+00
+70.47500E-03,+2.92653313E+00,+2.88846226E+00
+70.50000E-03,+2.92619845E+00,+2.88886427E+00
+70.52500E-03,+2.92657837E+00,+2.88875170E+00
+70.55000E-03,+2.92638842E+00,+2.88926628E+00
+70.57500E-03,+2.92712107E+00,+2.88900095E+00
+70.60000E-03,+2.92700349E+00,+2.88909744E+00
+70.62500E-03,+2.92719343E+00,+2.88906528E+00
+70.65000E-03,+2.92684970E+00,+2.88903312E+00
+70.67500E-03,+2.92666882E+00,+2.88953965E+00
+70.70000E-03,+2.92662358E+00,+2.88916176E+00
+70.72500E-03,+2.92637032E+00,+2.89007030E+00
+70.75000E-03,+2.92669594E+00,+2.89015071E+00
+70.77500E-03,+2.92652409E+00,+2.88988538E+00
+70.80000E-03,+2.92659644E+00,+2.89077785E+00
+70.82500E-03,+2.92647885E+00,+2.89059293E+00
+70.85000E-03,+2.92686781E+00,+2.88962004E+00
+70.87500E-03,+2.92687685E+00,+2.89071351E+00
+70.90000E-03,+2.92646077E+00,+2.89031152E+00
+70.92500E-03,+2.92675927E+00,+2.89090649E+00
+70.95000E-03,+2.92694922E+00,+2.89059293E+00
+70.97500E-03,+2.92639745E+00,+2.89072155E+00
+71.00000E-03,+2.92687686E+00,+2.88994969E+00
+71.02500E-03,+2.92689493E+00,+2.89076176E+00
+71.05000E-03,+2.92696730E+00,+2.89133262E+00
+71.07500E-03,+2.92659646E+00,+2.89069744E+00
+71.10000E-03,+2.92697635E+00,+2.89048838E+00
+71.12500E-03,+2.92701253E+00,+2.89115572E+00
+71.15000E-03,+2.92704871E+00,+2.89189542E+00
+71.17500E-03,+2.92684972E+00,+2.89126830E+00
+71.20000E-03,+2.92719343E+00,+2.89154166E+00
+71.22500E-03,+2.92696730E+00,+2.89086630E+00
+71.25000E-03,+2.92719343E+00,+2.89127633E+00
+71.27500E-03,+2.92712108E+00,+2.89081001E+00
+71.30000E-03,+2.92696730E+00,+2.89147734E+00
+71.32500E-03,+2.92718438E+00,+2.89114766E+00
+71.35000E-03,+2.92733815E+00,+2.89199189E+00
+71.37500E-03,+2.92737434E+00,+2.89183914E+00
+71.40000E-03,+2.92673212E+00,+2.89091454E+00
+71.42500E-03,+2.92674117E+00,+2.89147734E+00
+71.45000E-03,+2.92719343E+00,+2.89176679E+00
+71.47500E-03,+2.92716629E+00,+2.89185522E+00
+71.50000E-03,+2.92692209E+00,+2.89183913E+00
+71.52500E-03,+2.92719343E+00,+2.89203211E+00
+71.55000E-03,+2.92757332E+00,+2.89186326E+00
+71.57500E-03,+2.92698539E+00,+2.89206427E+00
+71.60000E-03,+2.92719343E+00,+2.89212859E+00
+71.62500E-03,+2.92683162E+00,+2.89179895E+00
+71.65000E-03,+2.92664167E+00,+2.89195169E+00
+71.67500E-03,+2.92670501E+00,+2.89233764E+00
+71.70000E-03,+2.92674117E+00,+2.89172659E+00
+71.72500E-03,+2.92648792E+00,+2.89209642E+00
+71.75000E-03,+2.92701253E+00,+2.89159795E+00
+71.77500E-03,+2.92688590E+00,+2.89266730E+00
+71.80000E-03,+2.92685876E+00,+2.89297283E+00
+71.82500E-03,+2.92696730E+00,+2.89329441E+00
+71.85000E-03,+2.92636128E+00,+2.89277986E+00
+71.87500E-03,+2.92674118E+00,+2.89268336E+00
+71.90000E-03,+2.92712108E+00,+2.89355976E+00
+71.92500E-03,+2.92674117E+00,+2.89268337E+00
+71.95000E-03,+2.92696730E+00,+2.89308538E+00
+71.97500E-03,+2.92637032E+00,+2.89284419E+00
+72.00000E-03,+2.92651504E+00,+2.89344718E+00
+72.02500E-03,+2.92653314E+00,+2.89306124E+00
+72.05000E-03,+2.92696730E+00,+2.89346327E+00
+72.07500E-03,+2.92625272E+00,+2.89299693E+00
+72.10000E-03,+2.92654219E+00,+2.89294868E+00
+72.12500E-03,+2.92687685E+00,+2.89340696E+00
+72.15000E-03,+2.92674117E+00,+2.89368839E+00
+72.17500E-03,+2.92674117E+00,+2.89412257E+00
+72.20000E-03,+2.92674117E+00,+2.89350346E+00
+72.22500E-03,+2.92720250E+00,+2.89378487E+00
+72.25000E-03,+2.92619846E+00,+2.89308538E+00
+72.27500E-03,+2.92684068E+00,+2.89331049E+00
+72.30000E-03,+2.92686782E+00,+2.89328638E+00
+72.32500E-03,+2.92668689E+00,+2.89313363E+00
+72.35000E-03,+2.92629795E+00,+2.89389743E+00
+72.37500E-03,+2.92628889E+00,+2.89348739E+00
+72.40000E-03,+2.92651504E+00,+2.89317380E+00
+72.42500E-03,+2.92651504E+00,+2.89400195E+00
+72.45000E-03,+2.92658741E+00,+2.89301302E+00
+72.47500E-03,+2.92644267E+00,+2.89338288E+00
+72.50000E-03,+2.92651504E+00,+2.89368840E+00
+72.52500E-03,+2.92693113E+00,+2.89436379E+00
+72.55000E-03,+2.92635221E+00,+2.89422709E+00
+72.57500E-03,+2.92684971E+00,+2.89448436E+00
+72.60000E-03,+2.92665976E+00,+2.89462105E+00
+72.62500E-03,+2.92669594E+00,+2.89505522E+00
+72.65000E-03,+2.92675022E+00,+2.89429945E+00
+72.67500E-03,+2.92651504E+00,+2.89446830E+00
+72.70000E-03,+2.92651504E+00,+2.89498287E+00
+72.72500E-03,+2.92654219E+00,+2.89476580E+00
+72.75000E-03,+2.92656028E+00,+2.89493461E+00
+72.77500E-03,+2.92679545E+00,+2.89519994E+00
+72.80000E-03,+2.92677736E+00,+2.89526426E+00
+72.82500E-03,+2.92630700E+00,+2.89413863E+00
+72.85000E-03,+2.92656024E+00,+2.89560197E+00
+72.87500E-03,+2.92665073E+00,+2.89489440E+00
+72.90000E-03,+2.92709393E+00,+2.89451652E+00
+72.92500E-03,+2.92719343E+00,+2.89512757E+00
+72.95000E-03,+2.92676831E+00,+2.89522406E+00
+72.97500E-03,+2.92653312E+00,+2.89472556E+00
+73.00000E-03,+2.92674117E+00,+2.89437180E+00
+73.02500E-03,+2.92704871E+00,+2.89493465E+00
+73.05000E-03,+2.92674117E+00,+2.89480597E+00
+73.07500E-03,+2.92681354E+00,+2.89570647E+00
+73.10000E-03,+2.92681355E+00,+2.89549744E+00
+73.12500E-03,+2.92696730E+00,+2.89569843E+00
+73.15000E-03,+2.92655122E+00,+2.89526428E+00
+73.17500E-03,+2.92726579E+00,+2.89501500E+00
+73.20000E-03,+2.92664169E+00,+2.89538486E+00
+73.22500E-03,+2.92690400E+00,+2.89551353E+00
+73.25000E-03,+2.92732910E+00,+2.89557785E+00
+73.27500E-03,+2.92675927E+00,+2.89551353E+00
+73.30000E-03,+2.92654217E+00,+2.89567433E+00
+73.32500E-03,+2.92654216E+00,+2.89569844E+00
+73.35000E-03,+2.92674117E+00,+2.89493460E+00
+73.37500E-03,+2.92683163E+00,+2.89573863E+00
+73.40000E-03,+2.92646077E+00,+2.89553766E+00
+73.42500E-03,+2.92670498E+00,+2.89573061E+00
+73.45000E-03,+2.92672309E+00,+2.89694472E+00
+73.47500E-03,+2.92651504E+00,+2.89548938E+00
+73.50000E-03,+2.92651507E+00,+2.89569847E+00
+73.52500E-03,+2.92671405E+00,+2.89601200E+00
+73.55000E-03,+2.92713011E+00,+2.89598788E+00
+73.57500E-03,+2.92634319E+00,+2.89582707E+00
+73.60000E-03,+2.92718439E+00,+2.89589141E+00
+73.62500E-03,+2.92678639E+00,+2.89597984E+00
+73.65000E-03,+2.92651504E+00,+2.89655875E+00
+73.67500E-03,+2.92697634E+00,+2.89599593E+00
+73.70000E-03,+2.92666881E+00,+2.89724216E+00
+73.72500E-03,+2.92658742E+00,+2.89704115E+00
+73.75000E-03,+2.92583667E+00,+2.89630145E+00
+73.77500E-03,+2.92670500E+00,+2.89667131E+00
+73.80000E-03,+2.92659646E+00,+2.89629340E+00
+73.82500E-03,+2.92652410E+00,+2.89643013E+00
+73.85000E-03,+2.92637032E+00,+2.89630146E+00
+73.87500E-03,+2.92692207E+00,+2.89694465E+00
+73.90000E-03,+2.92651504E+00,+2.89747531E+00
+73.92500E-03,+2.92634317E+00,+2.89700901E+00
+73.95000E-03,+2.92635222E+00,+2.89662309E+00
+73.97500E-03,+2.92658739E+00,+2.89634972E+00
+74.00000E-03,+2.92651504E+00,+2.89690447E+00
+74.02500E-03,+2.92634319E+00,+2.89741901E+00
+74.05000E-03,+2.92651504E+00,+2.89596379E+00
+74.07500E-03,+2.92672309E+00,+2.89750749E+00
+74.10000E-03,+2.92617131E+00,+2.89705724E+00
+74.12500E-03,+2.92696730E+00,+2.89803011E+00
+74.15000E-03,+2.92706681E+00,+2.89811050E+00
+74.17500E-03,+2.92690398E+00,+2.89736277E+00
+74.20000E-03,+2.92648790E+00,+2.89770849E+00
+74.22500E-03,+2.92651504E+00,+2.89691251E+00
+74.25000E-03,+2.92656026E+00,+2.89730651E+00
+74.27500E-03,+2.92725676E+00,+2.89703312E+00
+74.30000E-03,+2.92686779E+00,+2.89761200E+00
+74.32500E-03,+2.92696730E+00,+2.89757984E+00
+74.35000E-03,+2.92677736E+00,+2.89838385E+00
+74.37500E-03,+2.92628891E+00,+2.89811048E+00
+74.40000E-03,+2.92727487E+00,+2.89798995E+00
+74.42500E-03,+2.92576429E+00,+2.89725022E+00
+74.45000E-03,+2.92732009E+00,+2.89770849E+00
+74.47500E-03,+2.92659646E+00,+2.89729039E+00
+74.50000E-03,+2.92696730E+00,+2.89706527E+00
+74.52500E-03,+2.92649694E+00,+2.89729039E+00
+74.55000E-03,+2.92651504E+00,+2.89733060E+00
+74.57500E-03,+2.92690399E+00,+2.89707330E+00
+74.60000E-03,+2.92686781E+00,+2.89759592E+00
+74.62500E-03,+2.92606278E+00,+2.89770849E+00
+74.65000E-03,+2.92634319E+00,+2.89815875E+00
+74.67500E-03,+2.92670498E+00,+2.89787733E+00
+74.70000E-03,+2.92653313E+00,+2.89826328E+00
+74.72500E-03,+2.92635225E+00,+2.89781303E+00
+74.75000E-03,+2.92696730E+00,+2.89766828E+00
+74.77500E-03,+2.92696730E+00,+2.89839995E+00
+74.80000E-03,+2.92641556E+00,+2.89794164E+00
+74.82500E-03,+2.92614421E+00,+2.89811050E+00
+74.85000E-03,+2.92694019E+00,+2.89809443E+00
+74.87500E-03,+2.92710299E+00,+2.89815072E+00
+74.90000E-03,+2.92651504E+00,+2.89864116E+00
+74.92500E-03,+2.92684972E+00,+2.89771652E+00
+74.95000E-03,+2.92665978E+00,+2.89844016E+00
+74.97500E-03,+2.92696730E+00,+2.89844818E+00
+75.00000E-03,-3.06662520E+00,+2.88584897E+00
+75.02500E-03,-3.03939940E+00,+2.84688583E+00
+75.05000E-03,-3.03617031E+00,+2.78973616E+00
+75.07500E-03,-3.03588089E+00,+2.73238533E+00
+75.10000E-03,-3.03702059E+00,+2.67276750E+00
+75.12500E-03,-3.03655022E+00,+2.61754736E+00
+75.15000E-03,-3.03611606E+00,+2.56046188E+00
+75.17500E-03,-3.03694822E+00,+2.50362574E+00
+75.20000E-03,-3.03703868E+00,+2.44303457E+00
+75.22500E-03,-3.03823263E+00,+2.39427893E+00
+75.25000E-03,-3.03876631E+00,+2.33690389E+00
+75.27500E-03,-3.03920951E+00,+2.28304273E+00
+75.30000E-03,-3.03928188E+00,+2.22963158E+00
+75.32500E-03,-3.03950800E+00,+2.17378428E+00
+75.35000E-03,-3.04011405E+00,+2.12357336E+00
+75.37500E-03,-3.04134417E+00,+2.06816022E+00
+75.40000E-03,-3.04182361E+00,+2.01773218E+00
+75.42500E-03,-3.04210400E+00,+1.96436931E+00
+75.45000E-03,-3.04296330E+00,+1.91989101E+00
+75.47500E-03,-3.04308993E+00,+1.87312119E+00
+75.50000E-03,-3.04360549E+00,+1.82156739E+00
+75.52500E-03,-3.04251102E+00,+1.77864885E+00
+75.55000E-03,-3.04322559E+00,+1.72883174E+00
+75.57500E-03,-3.04324372E+00,+1.67572617E+00
+75.60000E-03,-3.04401253E+00,+1.62890817E+00
+75.62500E-03,-3.04469092E+00,+1.58434141E+00
+75.65000E-03,-3.04514318E+00,+1.53688012E+00
+75.67500E-03,-3.04590300E+00,+1.48693438E+00
+75.70000E-03,-3.04627384E+00,+1.44152329E+00
+75.72500E-03,-3.04695223E+00,+1.39547700E+00
+75.75000E-03,-3.04744972E+00,+1.35511515E+00
+75.77500E-03,-3.04807383E+00,+1.31420657E+00
+75.80000E-03,-3.04935828E+00,+1.27028316E+00
+75.82500E-03,-3.04915023E+00,+1.22586111E+00
+75.85000E-03,-3.04949396E+00,+1.18122183E+00
+75.87500E-03,-3.04971101E+00,+1.13883381E+00
+75.90000E-03,-3.04972008E+00,+1.10291816E+00
+75.92500E-03,-3.05098639E+00,+1.06153528E+00
+75.95000E-03,-3.05143868E+00,+1.01837568E+00
