t,u_1,u_2
+63.92500E-03,+2.92600851E+00,+2.86358588E+00
+63.95000E-03,+2.92571002E+00,+2.86368236E+00
+63.97500E-03,+2.92593615E+00,+2.86405221E+00
+64.00000E-03,+2.92615323E+00,+2.86397985E+00
+64.02500E-03,+2.92617132E+00,+2.86469543E+00
+64.05000E-03,+2.92608087E+00,+2.86455874E+00
+64.07500E-03,+2.92625273E+00,+2.86471151E+00
+64.10000E-03,+2.92571906E+00,+2.86518588E+00
+64.12500E-03,+2.92574620E+00,+2.86594970E+00
+64.15000E-03,+2.92626178E+00,+2.86583714E+00
+64.17500E-03,+2.92631605E+00,+2.86594970E+00
+64.20000E-03,+2.92628891E+00,+2.86586930E+00
+64.22500E-03,+2.92650600E+00,+2.86652055E+00
+64.25000E-03,+2.92601756E+00,+2.86727633E+00
+64.27500E-03,+2.92591806E+00,+2.86708337E+00
+64.30000E-03,+2.92606278E+00,+2.86755774E+00
+64.32500E-03,+2.92614419E+00,+2.86755774E+00
+64.35000E-03,+2.92594519E+00,+2.86762206E+00
+64.37500E-03,+2.92674117E+00,+2.86795975E+00
+64.40000E-03,+2.92658740E+00,+2.86812859E+00
+64.42500E-03,+2.92643364E+00,+2.86795975E+00
+64.45000E-03,+2.92606278E+00,+2.86804819E+00
+64.47500E-03,+2.92608087E+00,+2.86814467E+00
+64.50000E-03,+2.92615323E+00,+2.86840196E+00
+64.52500E-03,+2.92585474E+00,+2.86877181E+00
+64.55000E-03,+2.92566479E+00,+2.86901301E+00
+64.57500E-03,+2.92606278E+00,+2.86905322E+00
+64.60000E-03,+2.92553816E+00,+2.86896477E+00
+64.62500E-03,+2.92628891E+00,+2.86916578E+00
+64.65000E-03,+2.92606278E+00,+2.86946327E+00
+64.67500E-03,+2.92606278E+00,+2.87013864E+00
+64.70000E-03,+2.92649695E+00,+2.87054065E+00
+64.72500E-03,+2.92622559E+00,+2.87072558E+00
+64.75000E-03,+2.92579142E+00,+2.87097482E+00
+64.77500E-03,+2.92648791E+00,+2.87086226E+00
+64.80000E-03,+2.92599946E+00,+2.87120799E+00
+64.82500E-03,+2.92628891E+00,+2.87097482E+00
+64.85000E-03,+2.92605374E+00,+2.87136075E+00
+64.87500E-03,+2.92683163E+00,+2.87121603E+00
+64.90000E-03,+2.92589997E+00,+2.87110347E+00
+64.92500E-03,+2.92627987E+00,+2.87107935E+00
+64.95000E-03,+2.92613514E+00,+2.87165020E+00
+64.97500E-03,+2.92542057E+00,+2.87191553E+00
+65.00000E-03,+2.92606278E+00,+2.87157784E+00
+65.02500E-03,+2.92625273E+00,+2.87197985E+00
+65.05000E-03,+2.92614419E+00,+2.87197985E+00
+65.07500E-03,+2.92595424E+00,+2.87197985E+00
+65.10000E-03,+2.92637032E+00,+2.87197985E+00
+65.12500E-03,+2.92610801E+00,+2.87197985E+00
+65.15000E-03,+2.92673213E+00,+2.87197985E+00
+65.17500E-03,+2.92600851E+00,+2.87200397E+00
+65.20000E-03,+2.92632510E+00,+2.87218085E+00
+65.22500E-03,+2.92628891E+00,+2.87218085E+00
+65.25000E-03,+2.92597233E+00,+2.87238186E+00
+65.27500E-03,+2.92595424E+00,+2.87238186E+00
+65.30000E-03,+2.92606278E+00,+2.87258286E+00
+65.32500E-03,+2.92632509E+00,+2.87273563E+00
+65.35000E-03,+2.92606278E+00,+2.87243010E+00
+65.37500E-03,+2.92642459E+00,+2.87286427E+00
+65.40000E-03,+2.92608992E+00,+2.87274366E+00
+65.42500E-03,+2.92577333E+00,+2.87327432E+00
+65.45000E-03,+2.92546580E+00,+2.87343513E+00
+65.47500E-03,+2.92584570E+00,+2.87378085E+00
+65.50000E-03,+2.92619846E+00,+2.87431151E+00
+65.52500E-03,+2.92620751E+00,+2.87380497E+00
+65.55000E-03,+2.92606278E+00,+2.87388538E+00
+65.57500E-03,+2.92567384E+00,+2.87404618E+00
+65.60000E-03,+2.92621655E+00,+2.87375673E+00
+65.62500E-03,+2.92651504E+00,+2.87459291E+00
+65.65000E-03,+2.92602660E+00,+2.87405422E+00
+65.67500E-03,+2.92590901E+00,+2.87472960E+00
+65.70000E-03,+2.92627986E+00,+2.87410246E+00
+65.72500E-03,+2.92591806E+00,+2.87473764E+00
+65.75000E-03,+2.92606278E+00,+2.87487432E+00
+65.77500E-03,+2.92608087E+00,+2.87460096E+00
+65.80000E-03,+2.92620751E+00,+2.87514769E+00
+65.82500E-03,+2.92638841E+00,+2.87479392E+00
+65.85000E-03,+2.92573715E+00,+2.87497080E+00
+65.87500E-03,+2.92574621E+00,+2.87483412E+00
+65.90000E-03,+2.92589092E+00,+2.87509945E+00
+65.92500E-03,+2.92543866E+00,+2.87464116E+00
+65.95000E-03,+2.92644269E+00,+2.87519593E+00
+65.97500E-03,+2.92646077E+00,+2.87499492E+00
+66.00000E-03,+2.92642459E+00,+2.87539693E+00
+66.02500E-03,+2.92599042E+00,+2.87519593E+00
+66.05000E-03,+2.92635223E+00,+2.87519593E+00
+66.07500E-03,+2.92623464E+00,+2.87519593E+00
+66.10000E-03,+2.92652409E+00,+2.87519593E+00
+66.12500E-03,+2.92619846E+00,+2.87519593E+00
+66.15000E-03,+2.92608087E+00,+2.87539693E+00
+66.17500E-03,+2.92594519E+00,+2.87498689E+00
+66.20000E-03,+2.92644268E+00,+2.87599995E+00
+66.22500E-03,+2.92606278E+00,+2.87587130E+00
+66.25000E-03,+2.92651504E+00,+2.87539693E+00
+66.27500E-03,+2.92632509E+00,+2.87546125E+00
+66.30000E-03,+2.92665976E+00,+2.87546125E+00
+66.32500E-03,+2.92629796E+00,+2.87649844E+00
+66.35000E-03,+2.92680449E+00,+2.87607231E+00
+66.37500E-03,+2.92665072E+00,+2.87668337E+00
+66.40000E-03,+2.92651504E+00,+2.87640196E+00
+66.42500E-03,+2.92631605E+00,+2.87582306E+00
+66.45000E-03,+2.92654217E+00,+2.87654668E+00
+66.47500E-03,+2.92686781E+00,+2.87622508E+00
+66.50000E-03,+2.92674117E+00,+2.87684417E+00
+66.52500E-03,+2.92674117E+00,+2.87645020E+00
+66.55000E-03,+2.92693112E+00,+2.87660296E+00
+66.57500E-03,+2.92668691E+00,+2.87695674E+00
+66.60000E-03,+2.92651504E+00,+2.87640196E+00
+66.62500E-03,+2.92642459E+00,+2.87688438E+00
+66.65000E-03,+2.92696730E+00,+2.87711754E+00
+66.67500E-03,+2.92618942E+00,+2.87738286E+00
+66.70000E-03,+2.92648791E+00,+2.87758387E+00
+66.72500E-03,+2.92649696E+00,+2.87702909E+00
+66.75000E-03,+2.92588188E+00,+2.87740698E+00
+66.77500E-03,+2.92620751E+00,+2.87755171E+00
+66.80000E-03,+2.92661455E+00,+2.87719794E+00
+66.82500E-03,+2.92614419E+00,+2.87793764E+00
+66.85000E-03,+2.92621655E+00,+2.87814668E+00
+66.87500E-03,+2.92651504E+00,+2.87760799E+00
+66.90000E-03,+2.92670499E+00,+2.87780899E+00
+66.92500E-03,+2.92636127E+00,+2.87808236E+00
+66.95000E-03,+2.92652409E+00,+2.87821905E+00
+66.97500E-03,+2.92680449E+00,+2.87808236E+00
+67.00000E-03,+2.92651504E+00,+2.87809040E+00
+67.02500E-03,+2.92628891E+00,+2.87880598E+00
+67.05000E-03,+2.92608992E+00,+2.87851654E+00
+67.07500E-03,+2.92622560E+00,+2.87826728E+00
+67.10000E-03,+2.92606278E+00,+2.87850045E+00
+67.12500E-03,+2.92606278E+00,+2.87877382E+00
+67.15000E-03,+2.92606278E+00,+2.87896678E+00
+67.17500E-03,+2.92606278E+00,+2.87884618E+00
+67.20000E-03,+2.92632509E+00,+2.87898287E+00
+67.22500E-03,+2.92594519E+00,+2.87997986E+00
+67.25000E-03,+2.92610800E+00,+2.87873362E+00
+67.27500E-03,+2.92613515E+00,+2.87856478E+00
+67.30000E-03,+2.92651504E+00,+2.87921603E+00
+67.32500E-03,+2.92611706E+00,+2.87936879E+00
+67.35000E-03,+2.92627987E+00,+2.87923211E+00
+67.37500E-03,+2.92592710E+00,+2.87925623E+00
+67.40000E-03,+2.92680449E+00,+2.87941704E+00
+67.42500E-03,+2.92618037E+00,+2.87952156E+00
+67.45000E-03,+2.92681354E+00,+2.87974669E+00
+67.47500E-03,+2.92693112E+00,+2.87981905E+00
+67.50000E-03,+2.92719343E+00,+2.87961804E+00
+67.52500E-03,+2.92651504E+00,+2.88012458E+00
+67.55000E-03,+2.92612609E+00,+2.87981100E+00
+67.57500E-03,+2.92617132E+00,+2.87992357E+00
+67.60000E-03,+2.92620750E+00,+2.88022106E+00
+67.62500E-03,+2.92642459E+00,+2.88002005E+00
+67.65000E-03,+2.92649695E+00,+2.87986730E+00
+67.67500E-03,+2.92691304E+00,+2.88090448E+00
+67.70000E-03,+2.92677736E+00,+2.88113763E+00
+67.72500E-03,+2.92628891E+00,+2.88039794E+00
+67.75000E-03,+2.92642459E+00,+2.88058287E+00
+67.77500E-03,+2.92713916E+00,+2.88042206E+00
+67.80000E-03,+2.92651504E+00,+2.88102508E+00
+67.82500E-03,+2.92653313E+00,+2.88097684E+00
+67.85000E-03,+2.92691304E+00,+2.88127432E+00
+67.87500E-03,+2.92696730E+00,+2.88142709E+00
+67.90000E-03,+2.92709394E+00,+2.88111352E+00
