t,u_1,u_2
+73.800000E-03,+2.927459769E+00,+2.929091038E+00
+73.802500E-03,+2.926559264E+00,+2.927914907E+00
+73.805000E-03,+2.927565295E+00,+2.928849578E+00
+73.807500E-03,+2.927143190E+00,+2.927579984E+00
+73.810000E-03,+2.928050721E+00,+2.926894560E+00
+73.812500E-03,+2.927987404E+00,+2.928234250E+00
+73.815000E-03,+2.928282886E+00,+2.928654856E+00
+73.817500E-03,+2.927452731E+00,+2.927400841E+00
+73.820000E-03,+2.927544190E+00,+2.928413396E+00
+73.822500E-03,+2.927150231E+00,+2.929262393E+00
+73.825000E-03,+2.926721074E+00,+2.928623695E+00
+73.827500E-03,+2.927628612E+00,+2.927844807E+00
+73.830000E-03,+2.927487920E+00,+2.927011381E+00
+73.832500E-03,+2.926925085E+00,+2.928763904E+00
+73.835000E-03,+2.927051734E+00,+2.928062901E+00
+73.837500E-03,+2.927143200E+00,+2.928351096E+00
+73.840000E-03,+2.926474863E+00,+2.927097087E+00
+73.842500E-03,+2.927459769E+00,+2.928249834E+00
+73.845000E-03,+2.926840661E+00,+2.926816646E+00
+73.847500E-03,+2.927938154E+00,+2.928210858E+00
+73.850000E-03,+2.928022587E+00,+2.928467928E+00
+73.852500E-03,+2.927614547E+00,+2.928070657E+00
+73.855000E-03,+2.926390457E+00,+2.927953858E+00
+73.857500E-03,+2.927811528E+00,+2.929262378E+00
+73.860000E-03,+2.927994439E+00,+2.929519460E+00
+73.862500E-03,+2.929007525E+00,+2.928312122E+00
+73.865000E-03,+2.927776337E+00,+2.928460114E+00
+73.867500E-03,+2.928704983E+00,+2.928421196E+00
+73.870000E-03,+2.927945174E+00,+2.927034799E+00
+73.872500E-03,+2.927551216E+00,+2.928693788E+00
+73.875000E-03,+2.927811524E+00,+2.927844822E+00
+73.877500E-03,+2.926699977E+00,+2.928382202E+00
+73.880000E-03,+2.927530139E+00,+2.927245034E+00
+73.882500E-03,+2.927129045E+00,+2.927159376E+00
+73.885000E-03,+2.927248733E+00,+2.928288769E+00
+73.887500E-03,+2.926615571E+00,+2.927494287E+00
+73.890000E-03,+2.926742173E+00,+2.927517707E+00
+73.892500E-03,+2.926932131E+00,+2.928335529E+00
+73.895000E-03,+2.927150187E+00,+2.926925707E+00
+73.897500E-03,+2.927818602E+00,+2.926349315E+00
+73.900000E-03,+2.927143177E+00,+2.928039555E+00
+73.902500E-03,+2.927677864E+00,+2.928226486E+00
+73.905000E-03,+2.927698927E+00,+2.927891556E+00
+73.907500E-03,+2.927607517E+00,+2.928530266E+00
+73.910000E-03,+2.926706990E+00,+2.928242065E+00
+73.912500E-03,+2.926721115E+00,+2.928390050E+00
+73.915000E-03,+2.926742145E+00,+2.928148570E+00
+73.917500E-03,+2.928149159E+00,+2.928094059E+00
+73.920000E-03,+2.926826576E+00,+2.927540962E+00
+73.922500E-03,+2.927959288E+00,+2.926769861E+00
+73.925000E-03,+2.927072840E+00,+2.927455360E+00
+73.927500E-03,+2.926517061E+00,+2.928249813E+00
+73.930000E-03,+2.927375341E+00,+2.927050360E+00
+73.932500E-03,+2.929063736E+00,+2.927798028E+00
+73.935000E-03,+2.927340183E+00,+2.927618921E+00
+73.937500E-03,+2.926052764E+00,+2.927650124E+00
+73.940000E-03,+2.926235685E+00,+2.927424211E+00
+73.942500E-03,+2.926425655E+00,+2.928242064E+00
+73.945000E-03,+2.926313029E+00,+2.928413372E+00
+73.947500E-03,+2.926932131E+00,+2.927634484E+00
+73.950000E-03,+2.927459802E+00,+2.927143817E+00
+73.952500E-03,+2.926573330E+00,+2.928958574E+00
+73.955000E-03,+2.926714054E+00,+2.928109609E+00
+73.957500E-03,+2.927100926E+00,+2.927486539E+00
+73.960000E-03,+2.927480888E+00,+2.927361830E+00
+73.962500E-03,+2.926298936E+00,+2.927961633E+00
+73.965000E-03,+2.926932131E+00,+2.928678200E+00
+73.967500E-03,+2.926756251E+00,+2.928576943E+00
+73.970000E-03,+2.926059672E+00,+2.927097052E+00
+73.972500E-03,+2.928085945E+00,+2.926629740E+00
+73.975000E-03,+2.927565304E+00,+2.926676423E+00
+73.977500E-03,+2.926636677E+00,+2.926956876E+00
+73.980000E-03,+2.928114032E+00,+2.927595552E+00
+73.982500E-03,+2.926911017E+00,+2.926824438E+00
+73.985000E-03,+2.927065848E+00,+2.926395937E+00
+73.987500E-03,+2.927002425E+00,+2.927027023E+00
+73.990000E-03,+2.927797482E+00,+2.927416369E+00
+73.992500E-03,+2.927136083E+00,+2.928257565E+00
+73.995000E-03,+2.927473788E+00,+2.928125133E+00
+73.997500E-03,+2.928789339E+00,+2.926084563E+00
+74.000000E-03,+2.927635631E+00,+2.927844817E+00
+74.002500E-03,+2.927459769E+00,+2.927579944E+00
+74.005000E-03,+2.927677796E+00,+2.927969410E+00
+74.007500E-03,+2.927199476E+00,+2.927657893E+00
+74.010000E-03,+2.926932131E+00,+2.927790305E+00
+74.012500E-03,+2.926826715E+00,+2.928467933E+00
+74.015000E-03,+2.929464652E+00,+2.927681281E+00
+74.017500E-03,+2.926383396E+00,+2.926886672E+00
+74.020000E-03,+2.927044568E+00,+2.927541060E+00
+74.022500E-03,+2.927910030E+00,+2.927268522E+00
+74.025000E-03,+2.926791407E+00,+2.927065803E+00
+74.027500E-03,+2.928627468E+00,+2.928039531E+00
+74.030000E-03,+2.927065769E+00,+2.927112680E+00
+74.032500E-03,+2.928282925E+00,+2.927065913E+00
+74.035000E-03,+2.928156210E+00,+2.927992808E+00
+74.037500E-03,+2.928163286E+00,+2.927260694E+00
+74.040000E-03,+2.928015432E+00,+2.926910192E+00
+74.042500E-03,+2.927459769E+00,+2.927735738E+00
+74.045000E-03,+2.927902942E+00,+2.928164118E+00
+74.047500E-03,+2.927973358E+00,+2.928008423E+00
+74.050000E-03,+2.927952187E+00,+2.928312180E+00
+74.052500E-03,+2.926503029E+00,+2.927658007E+00
+74.055000E-03,+2.927016564E+00,+2.928771840E+00
+74.057500E-03,+2.927297892E+00,+2.926668714E+00
+74.060000E-03,+2.927593562E+00,+2.929441478E+00
+74.062500E-03,+2.927635545E+00,+2.929013098E+00
+74.065000E-03,+2.926995494E+00,+2.928062808E+00
+74.067500E-03,+2.926517032E+00,+2.928374507E+00
+74.070000E-03,+2.927832704E+00,+2.927665714E+00
+74.072500E-03,+2.928275837E+00,+2.927759076E+00
+74.075000E-03,+2.926545184E+00,+2.927805916E+00
+74.077500E-03,+2.927755149E+00,+2.928210847E+00
+74.080000E-03,+2.926685838E+00,+2.927354049E+00
+74.082500E-03,+2.926911074E+00,+2.927369654E+00
+74.085000E-03,+2.927797544E+00,+2.927587813E+00
+74.087500E-03,+2.927670925E+00,+2.927649944E+00
+74.090000E-03,+2.927649617E+00,+2.929215605E+00
+74.092500E-03,+2.927628447E+00,+2.926902373E+00
+74.095000E-03,+2.926974303E+00,+2.927112603E+00
+74.097500E-03,+2.928219659E+00,+2.927198224E+00
+74.100000E-03,+2.926967267E+00,+2.928351176E+00
+74.102500E-03,+2.926699930E+00,+2.927042575E+00
+74.105000E-03,+2.928015508E+00,+2.928631387E+00
+74.107500E-03,+2.927311936E+00,+2.927019149E+00
+74.110000E-03,+2.927677778E+00,+2.927104782E+00
+74.112500E-03,+2.926017435E+00,+2.928779571E+00
+74.115000E-03,+2.927122039E+00,+2.928234254E+00
+74.117500E-03,+2.926713860E+00,+2.926209052E+00
